episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
85,71.49,0.0,100.0,285.85,9.2,18.1,0.34,0.17
86,55.75,0.03,97.0,394.94,3.3,33.85,0.37,0.1
87,29.29,0.26,74.0,388.56,1.3,32.66,0.35,0.1
88,68.69,0.0,100.0,313.81,3.06,32.61,0.23,0.08
89,65.1,0.0,100.0,349.69,6.56,21.93,0.28,0.09
90,67.84,0.0,100.0,322.26,3.64,30.94,0.14,0.09
91,64.18,0.0,100.0,358.88,4.28,30.36,0.11,0.1
92,49.86,0.07,93.0,389.19,7.42,27.46,0.42,0.1
93,62.18,0.0,100.0,378.79,7.48,31.34,0.51,0.15
94,61.98,0.0,100.0,380.8,5.01,25.86,0.32,0.12
95,52.19,0.06,94.0,381.63,4.8,22.25,0.25,0.11
96,68.49,0.0,100.0,315.76,3.8,33.76,0.12,0.09
97,74.4,0.34,66.0,388.44,1.0,27.17,0.44,0.09
98,66.43,0.0,100.0,336.36,3.92,27.39,0.14,0.11
99,76.39,0.0,100.0,236.91,2.44,42.54,0.15,0.09
100,68.02,0.0,100.0,320.47,8.8,20.66,0.09,0.09
101,76.39,0.0,100.0,236.86,3.07,37.28,0.2,0.14
102,71.59,0.0,100.0,284.82,12.55,17.15,0.36,0.12
103,65.14,0.0,100.0,349.21,12.52,14.22,0.32,0.09
104,28.71,0.16,84.0,468.25,6.51,17.92,0.42,0.1
105,11.98,0.28,72.0,445.3,7.75,21.12,0.3,0.1
106,70.35,0.0,100.0,297.21,10.72,20.29,0.1,0.09
107,68.01,0.0,100.0,320.54,6.73,31.72,0.22,0.1
108,71.57,0.07,93.0,306.34,1.83,34.76,0.16,0.08
109,66.32,0.0,100.0,337.49,5.59,23.15,0.24,0.09
110,56.15,0.0,100.0,439.06,6.2,23.32,0.48,0.09
111,60.61,0.0,100.0,394.48,11.35,16.43,0.33,0.1
112,59.75,0.01,99.0,386.95,9.54,21.99,0.4,0.09
113,71.83,0.0,100.0,282.47,5.27,27.87,0.17,0.12
114,64.19,0.0,100.0,358.77,7.64,22.5,0.13,0.12
115,34.5,0.13,87.0,454.61,4.24,31.77,0.3,0.15
116,19.48,0.27,73.0,363.86,4.41,26.75,0.22,0.1
117,63.42,0.0,100.0,366.48,5.38,27.6,0.09,0.09
118,57.84,0.0,100.0,422.22,5.16,29.48,0.53,0.19
119,67.01,0.0,100.0,330.58,6.72,22.03,0.48,0.12
120,67.22,0.0,100.0,328.43,3.37,36.9,0.26,0.07
121,58.1,0.01,99.0,403.66,4.43,29.72,0.38,0.07
122,63.63,0.06,94.0,387.48,1.51,29.86,0.3,0.07
123,-22.3,0.49,51.0,477.07,2.29,29.25,0.5,0.07
124,71.36,0.0,100.0,287.07,9.12,21.17,0.09,0.07
125,63.4,0.01,99.0,350.12,8.22,21.27,0.29,0.08
126,69.9,0.0,100.0,301.72,11.94,16.36,0.23,0.11
127,67.03,0.0,100.0,330.41,7.99,23.54,0.13,0.07
128,73.95,0.0,100.0,261.26,4.72,26.64,0.29,0.08
129,63.65,0.0,100.0,364.11,3.93,33.2,0.44,0.07
130,63.3,0.0,100.0,367.65,5.56,29.08,0.28,0.07
131,65.43,0.0,100.0,346.31,4.2,26.63,0.32,0.07
132,68.62,0.0,100.0,314.51,10.56,16.16,0.38,0.07
133,62.01,0.0,100.0,380.57,9.35,15.48,0.32,0.11
134,67.13,0.0,100.0,329.36,2.41,35.82,0.35,0.16
135,64.29,0.0,100.0,357.74,7.44,21.64,0.13,0.07
136,73.76,0.0,100.0,263.12,3.52,30.69,0.19,0.07
137,72.63,0.0,100.0,274.47,3.52,36.38,0.1,0.07
138,59.21,0.01,99.0,392.39,7.96,23.81,0.15,0.06
