episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
93,50.78,0.0,100.0,492.67,16.0,8.11,0.68,0.06
94,49.24,0.0,100.0,508.08,8.0,16.65,0.71,0.07
95,43.83,0.0,100.0,562.12,8.0,16.73,0.6,0.07
96,50.87,0.0,100.0,491.79,8.0,16.83,0.75,0.06
97,70.82,0.34,66.0,442.63,1.0,23.91,0.7,0.08
98,61.72,0.0,100.0,383.4,8.0,19.26,0.75,0.08
99,52.67,0.0,100.0,473.8,4.0,40.21,0.75,0.07
100,60.99,0.0,100.0,390.71,16.0,10.22,0.75,0.06
101,76.12,0.0,100.0,239.51,4.0,35.13,0.69,0.07
102,38.67,0.0,100.0,613.7,16.0,10.15,0.66,0.07
103,65.26,0.0,100.0,348.09,16.0,8.85,0.72,0.08
104,54.26,0.0,100.0,457.94,8.0,15.5,0.64,0.06
105,69.42,0.0,100.0,306.47,16.0,7.56,0.75,0.07
106,37.24,0.0,100.0,627.99,16.0,8.88,0.59,0.06
107,55.87,0.0,100.0,441.89,16.0,10.13,0.75,0.06
108,68.94,0.07,93.0,334.65,2.0,32.42,0.75,0.06
109,64.2,0.0,100.0,358.68,8.0,17.01,0.75,0.06
110,49.62,0.0,100.0,504.27,8.0,20.38,0.75,0.06
111,58.0,0.0,100.0,420.61,16.0,9.39,0.75,0.09
112,44.8,0.0,100.0,552.43,16.0,9.81,0.69,0.07
113,52.05,0.0,100.0,480.0,8.0,19.58,0.75,0.07
114,69.39,0.0,100.0,306.76,16.0,10.29,0.75,0.06
115,65.94,0.0,100.0,341.26,16.0,7.71,0.75,0.06
116,45.75,0.0,100.0,542.96,16.0,9.3,0.75,0.07
117,44.89,0.0,100.0,551.51,8.0,16.77,0.59,0.07
118,59.32,0.0,100.0,407.39,16.0,8.44,0.75,0.07
119,37.1,0.0,100.0,629.34,16.0,10.63,0.75,0.06
120,63.12,0.0,100.0,369.47,4.0,35.57,0.53,0.07
121,50.46,0.0,100.0,495.94,8.0,18.46,0.75,0.06
122,70.45,0.06,94.0,315.1,2.0,28.04,0.75,0.08
123,29.96,0.0,100.0,700.67,16.0,9.74,0.75,0.07
124,76.59,0.0,100.0,234.89,16.0,10.07,0.75,0.06
125,52.82,0.0,100.0,472.36,16.0,9.71,0.75,0.06
126,49.38,0.0,100.0,506.74,16.0,10.43,0.75,0.06
127,82.49,0.0,100.0,175.95,16.0,8.62,0.75,0.06
128,76.93,0.0,100.0,231.44,8.0,19.03,0.75,0.07
129,49.58,0.0,100.0,504.68,8.0,20.17,0.71,0.07
130,67.65,0.0,100.0,324.19,8.0,19.66,0.68,0.07
131,44.63,0.0,100.0,554.17,8.0,15.24,0.75,0.07
