episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,-49.6,0.72,28.0,72.0,28.0,0.0,620.14,4.0,36.07,0.88,0.09
2,-9.53,0.41,59.0,41.0,59.0,0.0,568.04,8.0,47.34,0.88,0.1
3,34.6,0.73,27.0,73.0,27.0,0.0,415.15,4.0,47.13,0.88,0.12
4,0.0,0.0,100.0,0.0,100.0,0.0,480.06,16.0,36.97,0.88,0.15
5,-47.8,0.71,29.0,71.0,29.0,0.0,615.19,4.0,45.19,0.88,0.1
6,-72.0,0.86,14.0,86.0,14.0,0.0,400.06,1.0,53.94,0.88,0.13
7,-21.8,0.49,51.0,49.0,51.0,0.0,569.27,8.0,46.65,0.88,0.11
8,0.0,0.0,100.0,0.0,100.0,0.0,506.45,16.0,38.67,0.88,0.13
9,-1.87,0.36,64.0,36.0,64.0,0.0,659.75,8.0,45.05,0.88,0.12
10,-46.0,0.7,30.0,70.0,30.0,0.0,497.74,4.0,51.46,0.88,0.15
11,-9.53,0.41,59.0,41.0,59.0,0.0,528.44,8.0,43.37,0.88,0.21
12,68.0,0.83,17.0,83.0,17.0,0.0,417.76,1.0,60.2,0.88,0.11
13,0.0,0.0,100.0,0.0,100.0,0.0,443.98,16.0,32.95,0.88,0.14
14,0.0,0.0,100.0,0.0,100.0,0.0,407.47,16.0,36.61,0.88,0.11
15,0.0,0.0,100.0,0.0,100.0,0.0,544.17,16.0,39.73,0.88,0.17
16,20.47,0.77,23.0,77.0,23.0,0.0,496.37,2.0,43.82,0.88,0.12
17,-55.53,0.77,23.0,77.0,23.0,0.0,685.64,2.0,54.48,0.88,0.12
18,-14.13,0.44,56.0,44.0,56.0,0.0,249.26,8.0,41.9,0.88,0.11
19,7.33,0.3,70.0,30.0,70.0,0.0,729.76,8.0,58.57,0.88,0.1
20,-80.0,0.9,10.0,90.0,10.0,0.0,473.08,1.0,52.83,0.88,0.08
21,-72.0,0.86,14.0,86.0,14.0,0.0,465.75,1.0,54.73,0.88,0.1
22,-69.07,0.84,16.0,84.0,16.0,0.0,672.48,2.0,54.47,0.88,0.12
23,12.0,0.89,11.0,89.0,11.0,0.0,384.53,1.0,63.88,0.88,0.1
24,-67.13,0.83,17.0,83.0,17.0,0.0,371.45,2.0,63.58,0.88,0.11
25,-67.13,0.83,17.0,83.0,17.0,0.0,650.34,2.0,42.66,0.88,0.14
26,0.0,0.0,100.0,0.0,100.0,0.0,602.39,16.0,42.98,0.88,0.14
27,-72.0,0.86,14.0,86.0,14.0,0.0,523.27,1.0,51.56,0.88,0.09
28,0.0,0.0,100.0,0.0,100.0,0.0,699.22,16.0,39.35,0.88,0.13
29,-15.67,0.45,55.0,45.0,55.0,0.0,485.16,8.0,43.07,0.88,0.12
30,-74.0,0.87,13.0,87.0,13.0,0.0,561.77,1.0,56.93,0.88,0.1
31,-76.0,0.88,12.0,88.0,12.0,0.0,744.64,1.0,58.44,0.88,0.09
32,-70.0,0.85,15.0,85.0,15.0,0.0,740.19,1.0,51.83,0.88,0.09
33,0.0,0.0,100.0,0.0,100.0,0.0,720.21,16.0,39.27,0.88,0.15
34,-72.0,0.86,14.0,86.0,14.0,0.0,480.92,1.0,56.46,0.88,0.08
35,-51.4,0.73,27.0,73.0,27.0,0.0,372.17,4.0,47.27,0.88,0.09
