episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,78.8,0.0,100.0,0.0,32.0,68.0,212.79,13.75,18.06,0.57,8.59
2,84.64,0.04,96.0,4.0,22.0,74.0,160.8,11.12,18.49,0.56,10.0
3,81.49,0.05,95.0,5.0,26.0,69.0,195.66,10.22,22.19,0.56,8.62
4,82.54,0.12,88.0,12.0,19.0,69.0,199.24,9.19,17.91,0.53,8.04
5,81.62,0.07,93.0,7.0,21.0,72.0,198.42,10.54,19.36,0.51,9.86
6,84.69,0.07,93.0,7.0,17.0,76.0,165.48,7.96,19.1,0.48,9.31
7,81.1,0.06,94.0,6.0,22.0,72.0,201.83,11.59,17.3,0.52,8.31
8,78.17,0.02,98.0,2.0,25.0,73.0,223.55,13.1,16.78,0.48,10.33
9,82.0,0.02,98.0,2.0,23.0,75.0,184.53,10.32,20.75,0.52,12.05
10,81.6,0.05,95.0,5.0,23.0,72.0,194.44,11.65,17.68,0.46,10.96
11,82.71,0.08,92.0,8.0,25.0,67.0,188.76,11.42,20.77,0.51,10.4
12,81.03,0.06,94.0,6.0,29.0,65.0,202.58,13.51,20.6,0.56,8.81
13,84.73,0.03,97.0,3.0,17.0,80.0,158.23,9.5,16.98,0.51,12.84
14,79.43,0.06,94.0,6.0,27.0,67.0,219.56,13.3,17.16,0.57,11.16
15,78.96,0.06,94.0,6.0,23.0,71.0,224.61,11.12,17.21,0.56,11.69
16,85.54,0.03,97.0,3.0,20.0,77.0,149.91,8.39,19.5,0.48,15.77
17,79.9,0.04,96.0,4.0,24.0,72.0,210.12,11.75,16.88,0.48,13.34
18,81.5,0.05,95.0,5.0,22.0,73.0,195.56,10.59,20.13,0.49,14.65
19,76.91,0.03,97.0,3.0,26.0,71.0,238.79,11.62,18.44,0.54,12.67
20,82.54,0.06,94.0,6.0,27.0,67.0,186.6,11.72,20.84,0.58,12.4
21,79.71,0.0,100.0,0.0,20.0,80.0,203.7,13.27,14.58,0.46,14.75
22,81.37,0.05,95.0,5.0,27.0,68.0,196.91,9.72,21.61,0.54,11.55
23,78.36,0.03,97.0,3.0,29.0,68.0,223.91,12.41,18.72,0.55,10.24
24,78.38,0.03,97.0,3.0,24.0,73.0,223.62,12.99,13.1,0.53,10.18
25,84.08,0.1,90.0,10.0,24.0,66.0,177.72,9.56,19.79,0.54,10.15
26,77.7,0.03,97.0,3.0,30.0,67.0,230.68,11.42,21.4,0.53,9.13
27,81.84,0.07,93.0,7.0,29.0,64.0,196.04,11.35,22.3,0.59,9.76
28,85.14,0.15,85.0,15.0,13.0,72.0,175.63,9.8,16.01,0.5,9.65
29,78.03,0.0,100.0,0.0,26.0,74.0,220.46,12.58,16.44,0.49,8.51
30,83.21,0.05,95.0,5.0,23.0,72.0,177.55,10.74,18.05,0.5,8.97
31,80.85,0.06,94.0,6.0,17.0,77.0,204.48,10.35,12.11,0.49,10.71
32,77.99,0.07,93.0,7.0,22.0,71.0,237.48,10.44,16.31,0.6,8.57
33,80.24,0.09,91.0,9.0,27.0,64.0,217.87,9.82,21.26,0.56,7.74
34,79.58,0.08,92.0,8.0,23.0,69.0,222.69,10.81,20.85,0.54,10.1
35,75.95,0.03,97.0,3.0,25.0,72.0,248.7,12.72,16.09,0.5,9.05
36,82.09,0.05,95.0,5.0,22.0,73.0,189.35,10.96,16.88,0.56,8.29
37,78.26,0.0,100.0,0.0,25.0,75.0,218.16,11.38,16.19,0.5,9.05
38,77.81,0.04,96.0,4.0,23.0,73.0,231.9,11.19,16.0,0.55,8.4
39,80.97,0.04,96.0,4.0,24.0,72.0,199.03,10.43,19.18,0.52,10.31
40,81.89,0.02,98.0,2.0,19.0,79.0,185.64,9.34,15.9,0.51,11.1
41,77.17,0.02,98.0,2.0,29.0,69.0,233.76,13.61,17.41,0.51,9.25
42,79.29,0.04,96.0,4.0,23.0,73.0,216.51,11.08,17.35,0.51,10.87
43,77.55,0.04,96.0,4.0,27.0,69.0,234.58,12.17,16.26,0.56,10.8
44,79.75,0.07,93.0,7.0,19.0,74.0,218.48,10.75,18.16,0.46,11.43
45,78.53,0.04,96.0,4.0,21.0,75.0,224.47,11.12,14.47,0.52,10.42
46,81.69,0.05,95.0,5.0,23.0,72.0,193.57,11.41,17.34,0.55,9.38
47,79.34,0.01,99.0,1.0,30.0,69.0,209.49,11.49,22.03,0.56,8.17
48,78.48,0.04,96.0,4.0,25.0,71.0,224.94,12.2,15.51,0.49,9.26
49,82.68,0.05,95.0,5.0,15.0,80.0,183.16,10.19,13.19,0.51,9.83
50,82.84,0.06,94.0,6.0,25.0,69.0,183.4,11.63,18.5,0.56,9.1
51,78.65,0.06,94.0,6.0,26.0,68.0,227.9,11.89,14.12,0.57,8.44
52,77.59,0.02,98.0,2.0,32.0,66.0,229.39,12.85,19.41,0.56,8.69
53,81.63,0.11,89.0,11.0,25.0,64.0,207.19,10.46,18.3,0.59,9.75
54,76.19,0.03,97.0,3.0,24.0,73.0,246.2,12.39,18.74,0.56,10.74
55,78.68,0.04,96.0,4.0,24.0,72.0,222.83,12.3,18.03,0.54,11.2
56,79.44,0.05,95.0,5.0,35.0,60.0,217.2,12.6,23.43,0.62,9.68
57,74.6,0.01,99.0,1.0,30.0,69.0,257.31,11.72,20.33,0.6,10.56
58,77.01,0.03,97.0,3.0,28.0,69.0,237.75,12.91,17.12,0.54,11.48
59,82.94,0.01,99.0,1.0,21.0,78.0,173.12,9.22,16.09,0.49,11.85
60,80.87,0.05,95.0,5.0,25.0,70.0,202.2,12.42,14.54,0.54,8.22
61,80.16,0.06,94.0,6.0,25.0,69.0,211.86,9.87,17.83,0.54,7.69
62,80.95,0.07,93.0,7.0,20.0,73.0,205.66,11.81,16.87,0.52,8.05
63,82.9,0.11,89.0,11.0,23.0,66.0,192.99,11.86,18.67,0.54,8.24
64,78.23,0.08,92.0,8.0,29.0,63.0,237.42,11.62,20.26,0.57,8.47
65,80.92,0.08,92.0,8.0,30.0,62.0,208.16,11.62,24.19,0.53,9.31
66,81.01,0.04,96.0,4.0,21.0,75.0,198.66,11.31,13.9,0.5,10.49
67,80.86,0.05,95.0,5.0,24.0,71.0,202.25,10.93,17.04,0.56,7.9
68,80.96,0.06,94.0,6.0,16.0,78.0,203.31,10.65,15.03,0.5,9.01
69,77.2,0.01,99.0,1.0,25.0,74.0,231.07,13.79,14.48,0.5,9.04
70,77.87,0.02,98.0,2.0,27.0,71.0,226.57,12.78,18.74,0.54,9.05
71,76.87,0.05,95.0,5.0,27.0,68.0,244.21,11.07,18.08,0.59,9.17
72,88.27,0.04,96.0,4.0,23.0,73.0,123.03,10.82,16.54,0.51,10.57
73,81.14,0.04,96.0,4.0,18.0,78.0,176.5,8.62,16.17,0.5,9.7
74,74.39,0.04,96.0,4.0,32.0,64.0,267.53,11.66,20.97,0.6,6.96
75,74.5,0.06,94.0,6.0,28.0,66.0,272.01,12.6,19.19,0.58,7.28
76,81.55,0.07,93.0,7.0,16.0,77.0,199.19,12.64,14.45,0.5,9.03
77,83.02,0.04,96.0,4.0,20.0,76.0,177.75,11.24,17.8,0.53,10.13
78,85.99,0.03,97.0,3.0,14.0,83.0,145.26,11.79,12.85,0.5,11.69
79,80.16,0.02,98.0,2.0,21.0,77.0,203.28,11.44,15.26,0.49,11.15
80,77.92,0.04,96.0,4.0,27.0,69.0,230.75,11.9,19.06,0.55,10.82
81,75.49,0.1,90.0,10.0,24.0,66.0,273.09,12.78,21.39,0.51,9.0
82,79.51,0.02,98.0,2.0,26.0,72.0,209.9,10.07,20.13,0.5,10.36
83,82.57,0.04,96.0,4.0,18.0,78.0,182.39,8.17,19.83,0.49,9.17
84,81.38,0.05,95.0,5.0,17.0,78.0,196.85,13.76,11.38,0.5,9.31
85,78.63,0.02,98.0,2.0,22.0,76.0,218.84,10.07,17.09,0.55,8.62
86,79.42,0.0,100.0,0.0,28.0,72.0,206.61,11.13,19.84,0.54,8.25
87,83.73,0.03,97.0,3.0,17.0,80.0,168.55,9.59,15.58,0.5,9.35
88,82.1,0.03,97.0,3.0,19.0,78.0,164.73,9.92,15.96,0.5,11.4
89,83.66,0.04,96.0,4.0,15.0,81.0,171.03,11.26,14.37,0.5,14.08
90,79.73,0.03,97.0,3.0,33.0,64.0,209.72,12.41,19.16,0.53,10.04
91,82.32,0.03,97.0,3.0,23.0,74.0,183.07,9.18,18.74,0.49,8.75
92,81.61,0.05,95.0,5.0,26.0,69.0,194.4,10.92,21.93,0.56,7.95
93,83.13,0.05,95.0,5.0,29.0,66.0,178.43,9.06,25.35,0.58,7.23
94,78.41,0.0,100.0,0.0,22.0,78.0,216.68,11.73,16.37,0.57,7.98
95,75.26,0.01,99.0,1.0,28.0,71.0,250.64,11.98,15.06,0.61,11.55
96,77.53,0.06,94.0,6.0,33.0,61.0,239.75,12.8,18.62,0.57,13.85
97,80.02,0.07,93.0,7.0,23.0,70.0,215.67,12.45,20.01,0.51,12.23
98,83.45,0.04,96.0,4.0,15.0,81.0,173.24,11.92,13.39,0.5,8.59
99,84.46,0.04,96.0,4.0,26.0,70.0,162.69,9.99,20.14,0.53,7.69
100,83.09,0.07,93.0,7.0,17.0,76.0,182.62,11.12,13.49,0.49,8.17
