episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
93,49.52,0.0,100.0,505.3,16.0,7.88,0.75,0.12
94,47.94,0.0,100.0,521.11,8.0,16.62,0.75,0.14
95,42.27,0.0,100.0,577.75,8.0,16.23,0.75,0.09
96,50.87,0.0,100.0,491.79,8.0,16.83,0.75,0.08
97,56.53,0.34,66.0,658.91,1.0,22.81,0.68,0.1
98,46.46,0.0,100.0,535.82,2.36,29.9,0.7,0.09
99,52.67,0.0,100.0,473.8,4.0,40.21,0.75,0.1
100,62.14,0.0,100.0,379.21,8.0,16.14,0.75,0.1
101,67.72,0.0,100.0,323.51,1.96,33.21,0.53,0.09
102,48.22,0.0,100.0,518.27,7.45,20.0,0.51,0.08
103,81.42,0.0,100.0,186.59,16.0,8.42,0.75,0.1
104,54.81,0.0,100.0,452.4,8.0,15.1,0.75,0.08
105,69.42,0.0,100.0,306.47,16.0,7.56,0.75,0.07
106,55.98,0.0,100.0,440.74,16.0,8.54,0.75,0.08
107,53.54,0.0,100.0,465.17,4.0,35.33,0.75,0.09
108,68.94,0.07,93.0,334.65,2.0,32.42,0.75,0.09
109,64.2,0.0,100.0,358.68,8.0,17.01,0.75,0.11
110,71.76,0.0,100.0,283.07,1.78,31.92,0.57,0.1
111,58.0,0.0,100.0,420.61,16.0,9.39,0.75,0.09
112,44.34,0.0,100.0,557.05,4.0,33.02,0.75,0.08
113,67.32,0.0,100.0,327.44,3.31,28.7,0.53,0.11
114,69.71,0.0,100.0,303.55,2.98,29.93,0.7,0.09
115,65.94,0.0,100.0,341.26,16.0,7.71,0.75,0.1
116,45.75,0.0,100.0,542.96,16.0,9.3,0.75,0.08
117,46.3,0.0,100.0,537.5,8.0,15.96,0.75,0.08
118,62.72,0.0,100.0,373.46,4.0,31.11,0.75,0.08
119,74.46,0.0,100.0,256.16,8.0,17.05,0.75,0.08
120,56.3,0.0,100.0,437.57,4.0,34.11,0.75,0.08
121,44.11,0.0,100.0,559.35,8.0,18.34,0.75,0.11
122,70.45,0.06,94.0,315.1,2.0,28.04,0.75,0.08
123,36.57,0.0,100.0,634.67,8.0,18.24,0.75,0.1
124,76.59,0.0,100.0,234.89,16.0,10.07,0.75,0.08
125,52.82,0.0,100.0,472.36,16.0,9.71,0.75,0.09
126,49.38,0.0,100.0,506.74,16.0,10.43,0.75,0.09
127,82.49,0.0,100.0,175.95,16.0,8.62,0.75,0.08
128,80.52,0.0,100.0,195.6,3.03,22.86,0.54,0.1
129,48.15,0.0,100.0,518.94,8.0,19.64,0.75,0.1
130,30.21,0.0,100.0,698.21,4.0,34.6,0.75,0.11
131,44.63,0.0,100.0,554.17,8.0,15.24,0.75,0.09
132,61.61,0.0,100.0,384.55,16.0,8.34,0.75,0.1
133,63.48,0.0,100.0,365.86,16.0,7.88,0.75,0.09
134,63.49,0.0,100.0,365.72,1.81,33.67,0.57,0.11
135,57.27,0.0,100.0,427.83,2.42,29.88,0.7,0.09
136,76.04,0.0,100.0,240.35,8.0,18.38,0.75,0.09
