episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,30.41,0.0,100.0,0.0,40.0,60.0,262.83,11.44,23.9,0.5,1.02
2,38.62,0.03,97.0,3.0,39.0,58.0,249.19,9.87,24.81,0.37,0.95
3,49.19,0.04,96.0,4.0,24.0,72.0,130.64,8.31,17.02,0.38,1.15
4,41.78,0.05,95.0,5.0,30.0,65.0,228.23,9.25,20.63,0.41,1.04
5,39.82,0.03,97.0,3.0,28.0,69.0,191.8,10.31,20.93,0.29,1.06
6,49.65,0.01,99.0,1.0,42.0,57.0,233.23,8.33,28.97,0.36,1.03
7,31.17,0.06,94.0,6.0,32.0,62.0,191.21,10.39,20.68,0.4,0.97
8,45.54,0.0,100.0,0.0,26.0,74.0,155.96,9.17,19.28,0.35,1.07
9,57.14,0.0,100.0,0.0,28.0,72.0,158.1,7.43,21.18,0.36,1.12
10,40.47,0.08,92.0,8.0,32.0,60.0,214.5,9.08,22.37,0.31,1.07
11,43.14,0.05,95.0,5.0,19.0,76.0,200.22,9.35,15.4,0.3,1.22
12,69.04,0.0,100.0,0.0,13.0,87.0,109.02,5.64,15.78,0.4,1.36
13,46.09,0.06,94.0,6.0,21.0,73.0,118.88,8.33,16.61,0.4,1.37
14,45.66,0.0,100.0,0.0,30.0,70.0,229.79,9.15,21.44,0.37,1.09
15,35.17,0.03,97.0,3.0,42.0,55.0,245.47,10.72,27.16,0.3,0.97
16,44.59,0.0,100.0,0.0,25.0,75.0,202.9,9.31,19.57,0.35,1.29
17,34.7,0.0,100.0,0.0,26.0,74.0,180.87,10.8,18.84,0.32,1.28
18,59.11,0.01,99.0,1.0,29.0,70.0,156.67,6.89,20.61,0.37,1.05
19,45.74,0.0,100.0,0.0,20.0,80.0,134.13,9.14,15.35,0.36,1.36
20,40.62,0.06,94.0,6.0,43.0,51.0,250.89,9.52,31.64,0.27,0.9
21,47.65,0.0,100.0,0.0,24.0,76.0,197.54,8.85,14.48,0.49,1.14
22,42.9,0.0,100.0,0.0,34.0,66.0,226.31,9.56,22.03,0.39,1.05
23,45.23,0.0,100.0,0.0,31.0,69.0,199.06,9.22,18.98,0.37,1.04
24,41.71,0.0,100.0,0.0,26.0,74.0,217.47,9.74,17.53,0.37,1.16
25,41.57,0.06,94.0,6.0,35.0,59.0,202.95,9.37,25.23,0.41,1.08
26,48.19,0.0,100.0,0.0,32.0,68.0,247.6,8.77,22.33,0.33,1.05
27,34.9,0.04,96.0,4.0,43.0,53.0,225.79,10.86,28.8,0.33,0.91
28,31.42,0.0,100.0,0.0,36.0,64.0,254.8,11.29,23.47,0.33,1.24
29,64.05,0.0,100.0,0.0,21.0,79.0,174.55,6.39,16.31,0.39,1.11
30,54.2,0.0,100.0,0.0,37.0,63.0,173.29,7.87,25.49,0.36,1.03
31,58.98,0.04,96.0,4.0,40.0,56.0,259.37,7.41,22.57,0.42,1.15
32,58.01,0.0,100.0,0.0,31.0,69.0,151.57,7.3,24.21,0.36,1.13
33,41.62,0.01,99.0,1.0,44.0,55.0,196.42,9.85,27.68,0.35,0.96
34,30.69,0.0,100.0,0.0,31.0,69.0,257.55,11.4,23.82,0.45,1.04
35,38.16,0.0,100.0,0.0,37.0,63.0,300.21,10.28,25.21,0.42,0.98
36,43.67,0.0,100.0,0.0,17.0,83.0,143.56,9.45,13.73,0.38,1.3
37,60.0,0.0,100.0,0.0,35.0,65.0,180.65,7.0,22.03,0.34,1.17
38,40.59,0.0,100.0,0.0,34.0,66.0,231.66,9.91,22.57,0.3,1.06
39,53.65,0.0,100.0,0.0,40.0,60.0,171.55,7.95,26.91,0.42,1.0
40,32.63,0.01,99.0,1.0,28.0,71.0,194.48,10.91,21.03,0.3,1.05
41,61.21,0.0,100.0,0.0,27.0,73.0,136.94,6.82,22.21,0.42,1.1
42,33.19,0.03,97.0,3.0,29.0,68.0,208.31,11.02,16.03,0.35,1.02
43,64.03,0.0,100.0,0.0,27.0,73.0,208.29,6.4,18.47,0.29,1.37
44,45.24,0.06,94.0,6.0,16.0,78.0,110.75,8.46,15.83,0.37,1.3
45,33.54,0.05,95.0,5.0,35.0,60.0,195.16,10.55,22.36,0.4,1.02
46,56.58,0.0,100.0,0.0,32.0,68.0,218.71,7.51,24.79,0.23,1.11
47,37.27,0.04,96.0,4.0,41.0,55.0,200.47,10.8,25.12,0.31,1.07
48,50.7,0.0,100.0,0.0,36.0,64.0,187.2,8.4,25.23,0.33,1.03
49,36.14,0.0,100.0,0.0,37.0,63.0,219.54,10.58,21.25,0.28,1.05
50,46.26,0.0,100.0,0.0,33.0,67.0,224.67,9.06,21.16,0.42,1.16
51,61.09,0.04,96.0,4.0,16.0,80.0,141.15,7.08,15.6,0.4,1.22
52,48.71,0.0,100.0,0.0,22.0,78.0,136.3,8.69,19.07,0.35,1.24
53,53.45,0.0,100.0,0.0,25.0,75.0,157.2,7.98,20.51,0.34,1.15
54,30.08,0.03,97.0,3.0,26.0,71.0,200.67,10.88,17.47,0.35,1.18
55,54.58,0.0,100.0,0.0,29.0,71.0,200.38,7.81,22.49,0.35,1.45
56,45.45,0.01,99.0,1.0,24.0,75.0,151.57,8.96,20.04,0.38,1.18
57,54.37,0.0,100.0,0.0,24.0,76.0,197.96,7.84,16.74,0.38,1.25
58,26.49,0.0,100.0,0.0,26.0,74.0,230.17,12.03,18.57,0.43,1.09
59,43.48,0.03,97.0,3.0,40.0,57.0,314.95,9.43,28.37,0.49,0.91
60,35.19,0.05,95.0,5.0,27.0,68.0,215.32,9.65,20.66,0.37,1.07
61,44.58,0.09,91.0,9.0,42.0,49.0,256.73,8.82,29.31,0.41,0.93
62,49.85,0.0,100.0,0.0,44.0,56.0,244.14,8.52,29.03,0.41,0.89
63,53.49,0.04,96.0,4.0,26.0,70.0,179.36,7.64,21.21,0.39,1.07
64,52.58,0.07,93.0,7.0,21.0,72.0,201.15,7.04,17.61,0.4,1.18
65,43.97,0.04,96.0,4.0,33.0,63.0,262.44,9.13,24.16,0.4,1.08
66,57.42,0.06,94.0,6.0,21.0,73.0,142.81,6.84,19.03,0.41,1.2
67,42.23,0.0,100.0,0.0,20.0,80.0,145.32,9.67,16.03,0.36,1.38
68,34.21,0.0,100.0,0.0,28.0,72.0,155.89,10.87,18.39,0.34,1.17
69,33.99,0.0,100.0,0.0,30.0,70.0,169.18,10.9,16.43,0.26,1.1
70,39.84,0.03,97.0,3.0,33.0,64.0,193.6,9.99,22.26,0.33,1.19
71,39.12,0.0,100.0,0.0,32.0,68.0,181.39,10.13,20.4,0.31,1.15
72,62.49,0.0,100.0,0.0,27.0,73.0,149.83,6.63,22.03,0.36,1.32
73,42.08,0.11,89.0,11.0,24.0,65.0,180.71,8.74,19.61,0.39,1.25
74,49.71,0.02,98.0,2.0,27.0,71.0,170.0,8.39,19.22,0.32,1.31
75,30.77,0.0,100.0,0.0,18.0,82.0,199.69,11.39,12.08,0.36,1.5
