episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,19.58,0.0,100.0,0.0,11.0,89.0,231.63,13.06,10.32,0.49,9.92
2,37.01,0.04,96.0,4.0,5.0,91.0,185.31,10.84,9.14,0.53,10.21
3,40.97,0.06,94.0,6.0,5.0,89.0,211.13,10.1,9.55,0.53,11.09
4,54.1,0.12,88.0,12.0,4.0,84.0,209.9,8.82,7.65,0.51,9.28
5,40.65,0.07,93.0,7.0,5.0,88.0,212.92,10.57,10.24,0.49,9.26
6,60.41,0.08,92.0,8.0,2.0,90.0,175.11,7.13,9.81,0.45,10.04
7,33.27,0.06,94.0,6.0,5.0,89.0,204.75,11.65,8.1,0.49,9.07
8,20.78,0.02,98.0,2.0,13.0,85.0,239.01,13.12,12.26,0.47,8.75
9,39.45,0.02,98.0,2.0,8.0,90.0,194.63,10.27,11.11,0.49,9.98
10,33.45,0.05,95.0,5.0,12.0,83.0,209.67,11.51,12.9,0.45,9.13
11,36.86,0.08,92.0,8.0,9.0,83.0,203.94,11.29,12.07,0.48,9.2
12,22.88,0.06,94.0,6.0,12.0,82.0,224.17,13.31,13.04,0.51,9.05
13,48.67,0.03,97.0,3.0,10.0,87.0,176.16,8.94,13.3,0.5,10.45
14,26.1,0.06,94.0,6.0,12.0,82.0,231.12,12.79,10.72,0.52,9.1
15,38.5,0.06,94.0,6.0,11.0,83.0,230.13,10.81,11.94,0.52,9.17
16,53.19,0.03,97.0,3.0,7.0,90.0,152.0,8.24,12.01,0.47,10.2
17,34.07,0.04,96.0,4.0,14.0,82.0,244.11,11.3,12.62,0.45,8.85
18,41.97,0.05,95.0,5.0,11.0,84.0,232.42,10.16,13.41,0.47,9.09
19,33.55,0.03,97.0,3.0,14.0,83.0,262.8,11.28,13.25,0.51,9.34
20,37.55,0.06,94.0,6.0,8.0,86.0,198.61,10.96,11.52,0.54,9.7
21,20.0,0.0,100.0,0.0,12.0,88.0,231.86,13.0,11.0,0.45,9.11
22,44.63,0.05,95.0,5.0,9.0,86.0,201.24,9.74,12.12,0.52,9.13
23,29.66,0.03,97.0,3.0,13.0,84.0,232.2,11.88,12.85,0.5,8.82
24,25.85,0.03,97.0,3.0,12.0,85.0,246.85,12.47,9.9,0.48,8.54
25,53.35,0.1,90.0,10.0,12.0,78.0,181.49,8.78,13.55,0.5,8.81
26,33.52,0.03,97.0,3.0,17.0,80.0,252.61,11.28,15.66,0.52,8.07
27,38.84,0.07,93.0,7.0,9.0,84.0,207.43,10.86,12.32,0.53,9.35
28,50.51,0.15,85.0,15.0,8.0,77.0,191.12,9.73,12.19,0.49,9.09
29,27.69,0.0,100.0,0.0,17.0,83.0,231.95,11.85,13.36,0.44,9.58
30,38.83,0.05,95.0,5.0,14.0,81.0,190.52,10.66,12.41,0.48,9.67
31,44.92,0.06,94.0,6.0,5.0,89.0,217.25,9.79,8.48,0.46,9.93
32,45.12,0.07,93.0,7.0,8.0,85.0,259.58,9.85,10.51,0.56,8.78
