episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,50.23,0.0,100.0,0.0,9.0,91.0,204.87,13.56,10.39,0.52,13.3
2,49.63,0.04,96.0,4.0,3.0,93.0,176.39,10.76,8.13,0.52,11.97
3,47.31,0.06,94.0,6.0,4.0,90.0,207.48,10.05,7.55,0.53,10.89
4,52.95,0.12,88.0,12.0,3.0,85.0,202.23,9.01,7.66,0.52,9.66
5,56.18,0.07,93.0,7.0,1.0,92.0,183.58,10.73,7.24,0.49,8.85
6,55.97,0.08,92.0,8.0,2.0,90.0,171.34,7.5,9.59,0.46,11.07
7,55.13,0.06,94.0,6.0,5.0,89.0,192.66,11.53,7.99,0.49,10.07
8,53.16,0.02,98.0,2.0,8.0,90.0,211.52,13.42,10.06,0.49,9.99
9,49.55,0.02,98.0,2.0,3.0,95.0,186.05,10.56,8.34,0.5,10.46
10,58.11,0.05,95.0,5.0,3.0,92.0,190.27,11.97,6.81,0.46,11.73
11,54.83,0.08,92.0,8.0,3.0,89.0,188.04,11.57,8.62,0.49,10.57
12,50.78,0.06,94.0,6.0,7.0,87.0,195.01,13.74,9.51,0.53,9.76
13,48.55,0.03,97.0,3.0,0.0,97.0,165.59,9.36,7.24,0.5,12.31
14,50.31,0.06,94.0,6.0,2.0,92.0,210.18,13.13,5.33,0.53,10.67
15,49.41,0.06,94.0,6.0,5.0,89.0,231.19,10.74,8.46,0.52,11.02
16,60.39,0.03,97.0,3.0,1.0,96.0,155.57,8.47,8.22,0.47,9.27
17,51.3,0.04,96.0,4.0,3.0,93.0,216.31,12.3,6.29,0.5,10.75
18,53.77,0.05,95.0,5.0,3.0,92.0,201.15,10.97,7.97,0.49,10.68
19,46.55,0.03,97.0,3.0,2.0,95.0,255.82,11.81,7.15,0.51,9.92
20,53.62,0.06,94.0,6.0,4.0,90.0,181.56,11.0,9.1,0.53,7.28
21,51.34,0.0,100.0,0.0,2.0,98.0,197.74,13.68,5.87,0.48,8.87
22,52.16,0.05,95.0,5.0,8.0,87.0,204.02,9.63,11.81,0.51,9.5
23,49.57,0.03,97.0,3.0,4.0,93.0,220.16,12.49,6.11,0.52,9.66
24,51.33,0.03,97.0,3.0,6.0,91.0,211.6,13.0,8.04,0.51,8.8
25,55.86,0.1,90.0,10.0,5.0,85.0,160.7,9.28,9.0,0.5,8.93
26,45.96,0.03,97.0,3.0,10.0,87.0,225.36,11.37,10.53,0.51,8.45
27,51.44,0.07,93.0,7.0,8.0,85.0,193.92,11.08,10.92,0.53,9.27
28,57.96,0.15,85.0,15.0,0.0,85.0,178.48,9.64,6.5,0.48,10.62
29,50.69,0.0,100.0,0.0,6.0,94.0,226.36,12.75,8.08,0.48,9.89
30,53.54,0.05,95.0,5.0,5.0,90.0,180.95,10.79,8.52,0.48,8.17
31,55.67,0.06,94.0,6.0,3.0,91.0,207.03,9.88,8.42,0.46,11.29
32,46.98,0.07,93.0,7.0,1.0,92.0,239.88,9.97,7.32,0.56,10.78
33,52.41,0.09,91.0,9.0,7.0,84.0,230.55,9.44,11.38,0.52,7.65
34,48.94,0.08,92.0,8.0,3.0,89.0,224.72,11.04,8.21,0.54,8.88
35,45.07,0.03,97.0,3.0,7.0,90.0,246.89,12.98,9.28,0.5,8.41
36,47.75,0.05,95.0,5.0,3.0,92.0,193.02,10.58,7.78,0.53,9.73
37,46.13,0.0,100.0,0.0,9.0,91.0,226.48,11.15,10.52,0.5,10.48
38,49.71,0.04,96.0,4.0,4.0,92.0,236.5,11.17,7.82,0.53,9.7
39,50.2,0.04,96.0,4.0,3.0,93.0,198.33,10.35,6.97,0.5,10.54
40,51.74,0.02,98.0,2.0,3.0,95.0,194.31,9.08,8.29,0.49,10.76
41,53.35,0.02,98.0,2.0,6.0,92.0,228.58,13.49,6.22,0.5,10.66
42,52.11,0.04,96.0,4.0,1.0,95.0,223.65,10.8,6.44,0.48,13.59
43,48.02,0.04,96.0,4.0,6.0,90.0,227.43,12.23,8.8,0.54,17.68
44,55.49,0.07,93.0,7.0,7.0,86.0,216.25,10.88,11.17,0.46,18.96
45,50.44,0.04,96.0,4.0,3.0,93.0,231.0,10.9,7.94,0.49,9.39
46,52.79,0.05,95.0,5.0,6.0,89.0,189.12,11.3,8.77,0.53,6.98
47,50.16,0.01,99.0,1.0,2.0,97.0,182.05,11.26,6.23,0.51,8.08
48,51.69,0.04,96.0,4.0,7.0,89.0,236.65,12.71,9.87,0.49,7.31
49,49.79,0.05,95.0,5.0,5.0,90.0,178.4,10.03,6.71,0.5,10.51
50,50.24,0.06,94.0,6.0,5.0,89.0,197.52,11.44,8.93,0.52,9.56
51,49.08,0.06,94.0,6.0,8.0,86.0,232.04,11.48,8.12,0.54,8.93
52,45.16,0.02,98.0,2.0,7.0,91.0,230.86,12.59,8.88,0.52,10.32
53,49.21,0.11,89.0,11.0,1.0,88.0,204.75,9.96,6.19,0.56,8.95
54,49.0,0.03,97.0,3.0,9.0,88.0,243.66,12.4,11.49,0.54,8.09
55,49.71,0.04,96.0,4.0,6.0,90.0,223.85,12.18,9.84,0.51,9.97
56,47.73,0.05,95.0,5.0,7.0,88.0,197.52,11.78,11.64,0.55,10.26
57,41.89,0.01,99.0,1.0,12.0,87.0,257.39,11.31,13.24,0.57,11.49
58,41.15,0.03,97.0,3.0,5.0,92.0,251.97,12.98,7.07,0.53,11.67
59,53.47,0.01,99.0,1.0,3.0,96.0,187.39,8.67,9.03,0.45,13.46
60,53.18,0.05,95.0,5.0,2.0,93.0,182.14,12.12,6.25,0.5,11.01
61,52.61,0.06,94.0,6.0,7.0,87.0,220.62,9.57,10.26,0.51,13.6
62,52.55,0.07,93.0,7.0,5.0,88.0,186.2,11.91,8.68,0.52,11.67
63,55.62,0.11,89.0,11.0,8.0,81.0,192.04,11.68,11.01,0.52,12.75
64,50.36,0.08,92.0,8.0,10.0,82.0,230.02,11.24,12.9,0.53,13.57
65,52.97,0.08,92.0,8.0,10.0,82.0,215.22,12.05,11.79,0.53,11.31
66,53.53,0.04,96.0,4.0,4.0,92.0,210.5,11.26,6.83,0.48,11.6
67,52.81,0.05,95.0,5.0,5.0,90.0,179.38,10.65,9.17,0.51,11.14
68,53.93,0.06,94.0,6.0,3.0,91.0,188.13,10.75,7.75,0.48,15.48
69,52.18,0.01,99.0,1.0,4.0,95.0,227.26,13.63,6.85,0.48,13.31
70,48.62,0.02,98.0,2.0,4.0,94.0,208.12,12.84,7.84,0.52,15.02
71,46.72,0.05,95.0,5.0,7.0,88.0,228.93,10.43,9.86,0.54,12.58
72,51.94,0.05,95.0,5.0,15.0,80.0,124.95,10.87,11.54,0.5,16.4
73,47.02,0.05,95.0,5.0,7.0,88.0,180.27,8.15,11.37,0.48,14.11
74,43.44,0.04,96.0,4.0,11.0,85.0,249.46,11.35,11.01,0.56,11.3
75,44.26,0.06,94.0,6.0,10.0,84.0,255.04,12.81,12.14,0.56,10.4
76,53.15,0.07,93.0,7.0,3.0,90.0,208.8,12.84,7.48,0.5,14.21
77,53.55,0.04,96.0,4.0,4.0,92.0,174.13,11.45,7.71,0.52,15.3
78,57.64,0.03,97.0,3.0,3.0,94.0,149.77,11.73,6.53,0.49,14.43
79,48.6,0.02,98.0,2.0,4.0,94.0,204.18,11.85,7.45,0.49,13.65
80,44.61,0.04,96.0,4.0,2.0,94.0,234.01,12.28,6.44,0.55,14.7
81,49.05,0.1,90.0,10.0,16.0,74.0,286.88,12.83,17.77,0.5,12.84
82,51.97,0.02,98.0,2.0,4.0,94.0,198.5,9.93,8.02,0.48,15.57
83,54.79,0.04,96.0,4.0,0.0,96.0,183.89,8.36,7.24,0.47,15.21
84,55.29,0.05,95.0,5.0,4.0,91.0,188.8,13.99,6.87,0.49,13.28
85,49.05,0.02,98.0,2.0,7.0,91.0,204.16,9.8,9.68,0.54,14.12
86,47.33,0.0,100.0,0.0,3.0,97.0,204.22,11.07,7.74,0.51,15.14
87,54.34,0.03,97.0,3.0,2.0,95.0,172.27,9.39,7.81,0.47,13.11
88,47.64,0.04,96.0,4.0,7.0,89.0,161.23,9.81,9.04,0.47,12.55
89,50.61,0.04,96.0,4.0,1.0,95.0,181.68,11.42,6.31,0.5,10.86
