1,-35.45,0.61,39.0,194.95,5.93,10.73,0.56,0.92
1,-31.04,0.58,42.0,213.08,5.84,10.42,0.59,0.92
1,-45.75,0.67,33.0,211.81,5.99,9.75,0.59,0.92
,-16.57,0.5,50.0,182.69,5.78,10.65,0.55,0.92
1,-33.29,0.6,40.0,196.35,5.64,11.51,0.54,0.92
2,-34.18,0.55,45.0,233.54,13.67,6.63,0.61,0.68
2,-31.57,0.53,47.0,224.22,14.12,5.56,0.65,0.68
2,-31.78,0.53,47.0,224.6,14.2,5.43,0.65,0.68
2,-25.1,0.49,51.0,232.08,13.61,7.11,0.62,0.68

3,-37.11,0.57,43.0,321.95,12.46,8.94,0.54,0.62
,-27.08,0.5,50.0,285.73,13.2,8.72,0.6,0.62

3,-36.81,0.57,43.0,302.09,12.92,8.4,0.57,0.62
4,-9.85,0.4,60.0,447.99,10.15,18.88,0.44,0.7
4,-15.34,0.44,56.0,445.87,9.9,20.47,0.31,0.744,-19.78,0.47,53.0,451.65,9.74,22.12,0.39,0.7
4,-26.65,0.51,49.0,488.22,9.83,17.2,0.42,0.7

5,-13.48,0.44,56.0,465.67,8.07,16.05,0.33,0.8
-5,-16.41,0.45,55.0,493.91,9.17,13.66,0.36,0.81
6,16.44,0.3,70.0,379.64,5.16,31.18,0.32,1.0
6,23.02,0.26,74.0,375.75,5.11,31.45,0.39,1.0
6,5.39,0.34,66.0,402.25,6.12,28.82,0.42,1.0

6,19.9,0.26,74.0,385.41,6.52,27.19,0.38,1.0
7,14.73,0.33,67.0,341.62,5.7,29.12,0.07,0.85
7,2.24,0.38,62.0,335.7,6.85,24.41,0.15,0.85
7,-2.73,0.41,59.0,314.62,7.35,20.64,0.26,0.85
7,12.28,0.33,67.0,338.4,6.13,25.62,0.15,0.85

7,10.49,0.35,65.0,341.63,5.32,27.74,0.09,0.85
8,41.9,0.21,79.0,309.03,2.59,37.21,0.11,0.7

8,32.44,0.24,76.0,372.24,2.53,35.79,0.17,0.7
9,-0.87,0.38,62.0,470.52,7.91,28.96,0.26,0.96
,-12.99,0.44,56.0,477.15,8.81,22.79,0.35,0.969,-7.93,0.42,58.0,474.07,8.84,23.04,0.31,0.96
9,-0.62,0.38,62.0,465.88,7.67,27.79,0.29,0.96
10,37.94,0.21,79.0,357.91,4.04,32.38,0.09,0.710,42.97,0.18,82.0,292.91,4.24,28.39,0.24,0.71110,37.33,0.2,80.0,345.5,4.57,27.76,0.25,0.7

11,19.07,0.3,70.0,334.15,4.62,32.97,0.17,0.59
11,17.97,0.32,68.0,286.05,4.16,33.61,0.19,0.59
11,9.57,0.35,65.0,327.79,4.37,32.33,0.25,0.59
12,50.47,0.14,86.0,348.29,2.44,38.15,0.2,0.66

12,50.71,0.14,86.0,358.42,2.3,37.13,0.26,0.66

13,2.31,0.38,62.0,401.62,6.07,24.27,0.33,0.51

13,12.2,0.34,66.0,413.78,4.57,25.89,0.24,0.51

13,18.97,0.28,72.0,400.27,5.6,25.15,0.39,0.51
13,10.66,0.32,68.0,413.0,6.43,22.83,0.38,0.51
14,42.98,0.17,83.0,281.1,4.05,27.08,0.34,0.91
14,29.08,0.27,73.0,210.67,4.63,23.28,0.21,0.9

15,21.85,0.31,69.0,267.07,2.83,32.26,0.19,0.5115,36.84,0.22,78.0,299.81,3.95,36.26,0.25,0.5
16,45.44,0.15,85.0,347.13,3.42,35.22,0.38,0.48
16,59.1,0.11,89.0,271.44,4.4,31.99,0.16,0.48

16,48.79,0.12,88.0,326.96,4.78,29.04,0.38,0.48
17,30.56,0.25,75.0,321.06,3.22,30.28,0.21,0.81
17,25.11,0.25,75.0,382.1,5.32,26.94,0.37,0.81

