r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
34.8382,100,69.46737,-1.0,0.0,34.84,0.23,77.0,23.0,76.0,0.0,1.0,0.0,379.35,1.28,30.36,0.25,0.39
58.1438,100,70.700963,0.62,2.0,58.14,0.03,97.0,3.0,97.0,0.0,0.0,0.0,370.28,3.13,34.4,0.38,0.35
54.990353,100,72.085115,0.56,0.0,54.99,0.0,100.0,0.0,100.0,0.0,0.0,0.0,450.65,10.93,18.09,0.45,0.34
10.1198225,100,73.32427,0.55,3.0,10.12,0.27,73.0,27.0,72.0,1.0,0.0,0.0,492.02,2.77,21.68,0.41,0.44
27.173626,100,74.519283,0.75,0.0,27.17,0.27,73.0,27.0,67.0,3.0,3.0,0.0,258.64,4.36,25.7,0.42,0.42
62.57301,100,75.703623,0.7,2.0,62.57,0.07,93.0,7.0,88.0,3.0,2.0,0.0,252.65,4.02,30.99,0.36,0.44
32.360966,100,76.856516,-1.0,7.0,32.36,0.21,79.0,21.0,50.0,8.0,12.0,9.0,325.22,11.29,11.96,0.48,0.38
44.50963,100,77.910861,0.74,1.0,44.51,0.15,85.0,15.0,78.0,3.0,2.0,2.0,300.59,7.67,18.2,0.37,0.33
66.42225,100,79.128929,0.7,2.0,66.42,0.03,97.0,3.0,90.0,3.0,3.0,1.0,285.02,11.75,16.81,0.53,0.33
50.797836,100,80.261093,0.47,2.0,50.8,0.1,90.0,10.0,65.0,7.0,11.0,7.0,325.14,10.67,15.86,0.41,0.4
41.45498,100,81.408152,0.7,0.0,41.45,0.15,85.0,15.0,65.0,5.0,6.0,9.0,336.49,12.72,9.67,0.36,0.35
31.846428,100,82.581,-1.0,1.0,31.85,0.22,78.0,22.0,59.0,3.0,9.0,7.0,310.35,7.91,20.76,0.31,0.35
22.68185,100,83.793675,0.66,3.0,22.68,0.23,77.0,23.0,50.0,6.0,7.0,14.0,407.32,3.65,15.83,0.45,0.35
59.896587,100,86.291274,0.75,3.0,59.9,0.1,90.0,10.0,89.0,0.0,0.0,1.0,224.15,10.36,17.22,0.29,0.42
51.491695,100,87.507634,0.66,2.0,51.49,0.06,94.0,6.0,65.0,7.0,14.0,8.0,389.0,11.86,11.71,0.35,0.83
24.473314,100,88.566438,-1.0,7.0,24.47,0.22,78.0,22.0,44.0,9.0,10.0,15.0,404.78,2.79,27.73,0.52,0.34
18.24907,100,90.015615,0.65,5.0,18.25,0.24,76.0,24.0,36.0,15.0,14.0,11.0,444.65,2.3,15.94,0.44,0.35
57.139946,100,91.168442,-1.0,7.0,57.14,0.09,91.0,9.0,83.0,4.0,1.0,3.0,273.91,14.81,9.17,0.52,0.52
49.85303,100,92.738044,0.86,2.0,49.85,0.17,83.0,17.0,72.0,3.0,7.0,1.0,195.35,6.67,21.57,0.55,0.35
10.2557125,100,93.900069,-1.0,4.0,10.26,0.29,71.0,29.0,16.0,8.0,24.0,23.0,447.66,4.27,13.64,0.2,0.66
47.90728,100,95.200012,-1.0,4.0,47.91,0.1,90.0,10.0,71.0,5.0,8.0,6.0,357.23,8.24,13.31,0.51,0.35
41.96771,100,96.388169,0.76,1.0,41.97,0.19,81.0,19.0,77.0,1.0,1.0,2.0,248.07,5.47,20.72,0.51,0.52
5.595966,100,97.545801,0.3,6.0,5.6,0.28,72.0,28.0,15.0,23.0,18.0,16.0,533.86,9.59,11.44,0.28,0.33
27.975563,100,98.705035,0.62,4.0,27.98,0.21,79.0,21.0,42.0,9.0,17.0,11.0,380.68,6.44,17.09,0.46,0.4
15.766623,100,99.836796,-1.0,2.0,15.77,0.36,64.0,36.0,62.0,1.0,1.0,0.0,316.83,1.16,32.52,0.27,0.4
60.409706,100,101.972063,0.68,0.0,60.41,0.03,97.0,3.0,95.0,1.0,1.0,0.0,346.95,3.01,34.07,0.45,0.34
64.85587,100,103.572019,0.67,0.0,64.86,0.0,100.0,0.0,100.0,0.0,0.0,0.0,352.09,5.52,25.94,0.24,0.73
29.775322,100,105.720036,0.55,1.0,29.78,0.14,86.0,14.0,66.0,7.0,7.0,6.0,491.49,10.25,13.92,0.33,0.44
70.87814,100,108.920754,0.69,0.0,70.88,0.0,100.0,0.0,99.0,0.0,0.0,1.0,291.93,9.52,19.86,0.14,0.93
65.93269,100,111.686796,0.76,3.0,65.93,0.04,96.0,4.0,96.0,0.0,0.0,0.0,272.26,4.62,29.37,0.35,1.1
66.30124,100,114.449776,0.69,3.0,66.3,0.03,97.0,3.0,94.0,0.0,1.0,2.0,286.27,6.47,21.86,0.39,1.08
53.544594,100,117.593888,0.78,0.0,53.54,0.11,89.0,11.0,88.0,0.0,1.0,0.0,275.51,1.94,29.67,0.45,0.95
43.489746,100,120.149696,0.55,0.0,43.49,0.12,88.0,12.0,73.0,5.0,4.0,6.0,370.07,11.47,13.31,0.45,1.08
68.17143,100,121.508967,0.69,1.0,68.17,0.01,99.0,1.0,99.0,0.0,0.0,0.0,302.0,10.95,23.29,0.52,0.73
45.945694,100,122.61211,0.6,0.0,45.95,0.1,90.0,10.0,90.0,0.0,0.0,0.0,379.0,5.42,23.59,0.14,0.35
44.141296,100,125.240272,0.6,3.0,44.14,0.1,90.0,10.0,81.0,6.0,3.0,0.0,399.03,10.09,16.47,0.37,0.34
64.48402,100,127.172626,0.66,0.0,64.48,0.04,96.0,4.0,96.0,0.0,0.0,0.0,287.34,3.14,34.04,0.35,0.67
43.464382,100,128.824695,0.61,3.0,43.46,0.1,90.0,10.0,69.0,5.0,10.0,6.0,406.55,7.54,15.95,0.59,0.7
48.42286,100,130.437868,0.69,2.0,48.42,0.1,90.0,10.0,85.0,2.0,2.0,1.0,351.51,3.6,36.27,0.52,0.58
42.99733,100,132.059578,0.7,2.0,43.0,0.17,83.0,17.0,83.0,0.0,0.0,0.0,277.86,2.49,27.39,0.2,0.61
57.780163,100,133.444509,0.73,4.0,57.78,0.06,94.0,6.0,85.0,4.0,3.0,2.0,322.17,9.28,21.9,0.37,0.35
21.992775,100,135.809356,-1.0,7.0,21.99,0.24,76.0,24.0,47.0,10.0,8.0,11.0,395.44,3.05,20.8,0.48,0.62
18.83772,100,138.436844,-1.0,2.0,18.84,0.3,70.0,30.0,67.0,1.0,2.0,0.0,303.02,4.69,18.46,0.32,0.76
33.399002,100,140.392574,0.65,3.0,33.4,0.14,86.0,14.0,50.0,11.0,16.0,9.0,449.4,6.67,19.58,0.3,0.78
24.832512,100,142.192234,0.7,3.0,24.83,0.31,69.0,31.0,63.0,2.0,3.0,1.0,307.47,1.08,27.43,0.48,0.39
64.175095,100,143.339165,0.6,6.0,64.18,0.03,97.0,3.0,96.0,0.0,0.0,1.0,308.17,2.87,33.45,0.45,0.95
68.103775,100,146.192129,0.51,2.0,68.1,0.0,100.0,0.0,100.0,0.0,0.0,0.0,319.64,6.56,22.68,0.42,0.35
60.96293,100,148.935387,0.53,3.0,60.96,0.03,97.0,3.0,97.0,0.0,0.0,0.0,341.25,4.49,28.43,0.47,0.92
68.328026,100,150.381179,0.65,3.0,68.33,0.03,97.0,3.0,97.0,0.0,0.0,0.0,265.4,5.38,24.43,0.42,0.51
58.02422,100,152.871819,0.54,2.0,58.02,0.0,100.0,0.0,100.0,0.0,0.0,0.0,420.34,15.72,10.76,0.47,0.65
56.18012,100,154.991912,0.55,3.0,56.18,0.0,100.0,0.0,100.0,0.0,0.0,0.0,438.76,13.6,14.76,0.52,0.83
53.19057,100,157.09484,0.48,0.0,53.19,0.07,93.0,7.0,93.0,0.0,0.0,0.0,353.44,4.86,25.67,0.38,0.74
35.382004,100,159.476654,0.64,1.0,35.38,0.19,81.0,19.0,81.0,0.0,0.0,0.0,329.29,4.54,21.54,0.34,0.64
63.134007,100,161.587846,0.67,1.0,63.13,0.04,96.0,4.0,96.0,0.0,0.0,0.0,301.39,5.0,29.63,0.22,0.64
71.83955,100,163.004073,1.0,2.0,71.84,0.37,63.0,37.0,62.0,0.0,0.0,1.0,352.4,1.0,24.88,0.41,0.5
57.538677,100,164.814508,0.71,3.0,57.54,0.06,94.0,6.0,94.0,0.0,0.0,0.0,324.73,3.34,28.04,0.22,0.43
56.986248,100,167.366212,0.77,3.0,56.99,0.07,93.0,7.0,93.0,0.0,0.0,0.0,312.66,2.39,40.55,0.28,0.53
68.21781,100,168.788634,0.72,1.0,68.22,0.0,100.0,0.0,100.0,0.0,0.0,0.0,318.5,10.48,19.11,0.34,1.09
50.04097,100,169.929534,0.78,2.0,50.04,0.13,87.0,13.0,87.0,0.0,0.0,0.0,276.12,2.97,33.69,0.18,0.62
