#{"t_start": 1756446849.9953153, "env_id": "None"}
r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
64.57043,100,19.088242,1.0,7.0,64.57,0.35,65.0,35.0,18.0,20.0,15.0,12.0,176.66,1.27,18.98,0.25,0.31
72.02524,100,19.437051,0.94,6.0,72.03,0.14,86.0,14.0,43.0,18.0,12.0,13.0,209.8,3.06,23.51,0.23,0.31
47.704533,100,19.764066,0.81,1.0,47.7,0.16,84.0,16.0,47.0,14.0,13.0,10.0,242.37,7.96,21.03,0.23,0.33
33.053654,100,20.097264,0.87,5.0,33.05,0.23,77.0,23.0,30.0,18.0,16.0,13.0,272.76,9.3,15.06,0.29,0.31
28.722298,100,20.428429,0.88,5.0,28.72,0.26,74.0,26.0,33.0,15.0,15.0,11.0,261.25,4.86,24.98,0.24,0.32
25.54185,100,20.755332,-1.0,7.0,25.54,0.26,74.0,26.0,37.0,19.0,7.0,11.0,304.19,9.44,21.14,0.26,0.31
48.487988,100,21.070082,0.82,0.0,48.49,0.17,83.0,17.0,39.0,11.0,14.0,19.0,211.78,8.0,20.32,0.15,0.31
32.238106,100,21.386933,-1.0,7.0,32.24,0.25,75.0,25.0,37.0,15.0,14.0,9.0,237.59,9.02,19.45,0.34,0.3
51.582474,100,21.722971,0.91,0.0,51.58,0.15,85.0,15.0,43.0,18.0,11.0,13.0,217.46,8.3,18.65,0.14,0.3
28.273233,100,22.063628,-1.0,7.0,28.27,0.21,79.0,21.0,46.0,10.0,13.0,10.0,376.91,8.92,26.7,0.32,0.32
27.503363,100,22.374457,0.72,6.0,27.5,0.23,77.0,23.0,47.0,11.0,11.0,8.0,344.77,11.69,16.68,0.21,0.32
37.791317,100,22.706002,0.93,5.0,37.79,0.26,74.0,26.0,37.0,15.0,18.0,4.0,138.82,8.48,16.2,0.34,0.29
29.348345,100,23.019991,0.68,2.0,29.35,0.21,79.0,21.0,39.0,15.0,10.0,15.0,363.32,8.81,17.83,0.22,0.31
61.15939,100,23.3803,0.91,5.0,61.16,0.13,87.0,13.0,45.0,20.0,9.0,13.0,148.45,8.85,18.12,0.2,0.29
24.781055,100,23.686502,-1.0,6.0,24.78,0.27,73.0,27.0,39.0,10.0,11.0,13.0,291.38,10.29,17.67,0.22,0.34
65.41791,100,24.030773,0.79,6.0,65.42,0.24,76.0,24.0,29.0,14.0,14.0,19.0,218.97,2.97,22.64,0.25,0.29
45.51376,100,24.37182,0.81,1.0,45.51,0.17,83.0,17.0,33.0,16.0,19.0,15.0,295.72,2.79,19.73,0.18,0.32
53.302284,100,24.722189,0.95,1.0,53.3,0.14,86.0,14.0,40.0,17.0,15.0,14.0,218.2,9.78,13.32,0.19,0.32
28.784138,100,25.062456,0.68,0.0,28.78,0.23,77.0,23.0,38.0,10.0,13.0,16.0,328.15,5.92,19.95,0.22,0.33
29.639431,100,25.41747,0.61,3.0,29.64,0.21,79.0,21.0,41.0,10.0,17.0,11.0,359.64,4.99,24.58,0.31,0.32
34.555557,100,25.765303,-1.0,4.0,34.56,0.19,81.0,19.0,43.0,12.0,14.0,12.0,339.48,9.5,16.27,0.13,0.34
36.354347,100,26.137784,0.87,6.0,36.35,0.23,77.0,23.0,37.0,14.0,17.0,9.0,229.94,5.04,22.96,0.37,0.33
6.8428683,100,26.458354,0.39,6.0,6.84,0.27,73.0,27.0,40.0,8.0,9.0,16.0,536.86,8.31,20.57,0.2,0.35
23.756641,100,26.821015,0.7,1.0,23.76,0.22,78.0,22.0,33.0,12.0,18.0,15.0,413.96,5.64,24.03,0.33,0.3
60.022877,100,27.192184,0.97,6.0,60.02,0.3,70.0,30.0,24.0,24.0,18.0,4.0,114.84,1.43,20.32,0.33,0.34
34.341312,100,27.544632,0.43,1.0,34.34,0.16,84.0,16.0,33.0,21.0,14.0,16.0,401.3,5.0,22.04,0.28,0.35
32.234573,100,27.869577,-1.0,7.0,32.23,0.23,77.0,23.0,43.0,10.0,15.0,9.0,283.39,6.08,23.99,0.41,0.33
50.727707,100,28.204755,0.84,3.0,50.73,0.17,83.0,17.0,43.0,18.0,8.0,14.0,184.82,8.99,18.83,0.25,0.31
36.815125,100,28.517426,0.52,6.0,36.82,0.18,82.0,18.0,43.0,15.0,12.0,12.0,332.19,10.5,16.96,0.32,0.32
35.8127,100,28.868109,0.94,4.0,35.81,0.27,73.0,27.0,27.0,17.0,20.0,9.0,140.41,4.8,21.61,0.3,0.29
43.43251,100,29.200699,-1.0,7.0,43.43,0.2,80.0,20.0,37.0,17.0,14.0,12.0,207.89,6.58,20.93,0.28,0.33
43.789684,100,29.543934,0.85,3.0,43.79,0.32,68.0,32.0,20.0,16.0,12.0,20.0,151.0,1.84,18.36,0.21,0.32
39.29493,100,29.888866,0.93,1.0,39.29,0.23,77.0,23.0,38.0,12.0,17.0,10.0,191.78,9.09,20.54,0.28,0.33
46.763294,100,30.245255,0.7,2.0,46.76,0.18,82.0,18.0,31.0,20.0,18.0,13.0,210.99,8.6,14.78,0.29,0.32
44.59813,100,30.584802,0.84,5.0,44.6,0.17,83.0,17.0,44.0,16.0,16.0,7.0,258.6,6.08,21.72,0.31,0.34
58.024868,100,30.978186,0.79,6.0,58.02,0.08,92.0,8.0,43.0,22.0,10.0,17.0,283.06,8.43,18.41,0.11,0.32
39.47581,100,31.316668,0.94,3.0,39.48,0.26,74.0,26.0,39.0,19.0,12.0,4.0,116.08,4.67,25.75,0.36,0.37
30.555262,100,31.667862,0.91,3.0,30.56,0.21,79.0,21.0,38.0,19.0,13.0,9.0,348.05,6.76,20.97,0.31,0.32
65.869484,100,32.022561,0.93,2.0,65.87,0.21,79.0,21.0,32.0,22.0,15.0,10.0,179.69,2.62,22.91,0.18,0.33
32.0552,100,32.357648,0.93,5.0,32.06,0.27,73.0,27.0,27.0,17.0,17.0,12.0,191.83,4.37,17.47,0.22,0.34
53.25688,100,32.716983,0.87,4.0,53.26,0.13,87.0,13.0,35.0,24.0,10.0,18.0,239.19,8.57,15.35,0.27,0.32
37.355743,100,33.070822,0.6,3.0,37.36,0.18,82.0,18.0,41.0,20.0,16.0,5.0,325.61,5.9,23.96,0.48,0.34
36.87871,100,33.475145,0.93,4.0,36.88,0.24,76.0,24.0,29.0,20.0,14.0,13.0,199.77,7.73,11.61,0.32,0.33
13.586857,100,33.813057,0.62,1.0,13.59,0.29,71.0,29.0,37.0,13.0,10.0,11.0,400.78,9.76,16.56,0.37,0.39
61.39476,100,34.160711,1.0,6.0,61.39,0.34,66.0,34.0,23.0,19.0,16.0,8.0,222.07,1.46,21.71,0.14,0.32
41.672794,100,34.532587,0.88,4.0,41.67,0.21,79.0,21.0,30.0,28.0,8.0,13.0,207.47,4.87,17.85,0.28,0.33
51.27674,100,34.873966,0.8,4.0,51.28,0.13,87.0,13.0,50.0,18.0,8.0,11.0,261.93,6.74,25.35,0.28,0.35
37.72867,100,35.215652,-1.0,7.0,37.73,0.2,80.0,20.0,41.0,19.0,11.0,9.0,279.11,5.29,24.3,0.3,0.32
31.201283,100,35.549391,0.73,4.0,31.2,0.24,76.0,24.0,34.0,13.0,17.0,12.0,274.39,5.06,21.71,0.32,0.32
33.535202,100,35.874185,0.69,4.0,33.54,0.19,81.0,19.0,49.0,8.0,14.0,10.0,352.07,13.52,15.21,0.14,0.31
22.378824,100,36.187287,0.45,0.0,22.38,0.22,78.0,22.0,51.0,9.0,13.0,5.0,431.61,14.5,14.67,0.23,0.31
43.710213,100,36.535013,0.88,6.0,43.71,0.17,83.0,17.0,41.0,22.0,12.0,8.0,269.28,5.94,22.46,0.29,0.29
40.57766,100,36.873002,0.84,3.0,40.58,0.19,81.0,19.0,47.0,14.0,11.0,9.0,265.21,5.89,23.19,0.28,0.33
28.858486,100,37.226397,0.8,2.0,28.86,0.28,72.0,28.0,27.0,24.0,12.0,9.0,211.09,5.15,19.33,0.38,0.31
75.741234,100,37.579747,0.96,4.0,75.74,0.37,63.0,37.0,13.0,16.0,19.0,15.0,163.67,0.91,12.7,0.22,0.33
44.168667,100,37.911263,0.86,2.0,44.17,0.17,83.0,17.0,39.0,23.0,11.0,10.0,263.77,5.36,22.87,0.43,0.33
60.541225,100,38.256006,0.87,6.0,60.54,0.32,68.0,32.0,24.0,17.0,12.0,15.0,257.49,2.39,24.11,0.17,0.31
22.512272,100,38.563569,0.46,0.0,22.51,0.23,77.0,23.0,53.0,7.0,12.0,5.0,409.52,10.01,24.95,0.23,0.33
62.542572,100,39.406173,0.92,0.0,62.54,0.3,70.0,30.0,24.0,20.0,14.0,12.0,107.43,2.59,21.11,0.13,0.29
58.723404,100,40.153085,0.91,2.0,58.72,0.09,91.0,9.0,43.0,21.0,17.0,10.0,256.53,13.16,12.06,0.42,0.82
24.884224,100,40.857503,0.75,4.0,24.88,0.21,79.0,21.0,48.0,17.0,8.0,6.0,419.77,11.43,16.86,0.31,0.7
56.351307,100,41.531775,0.91,2.0,56.35,0.1,90.0,10.0,50.0,17.0,8.0,15.0,263.5,5.65,22.56,0.16,0.64
36.61705,100,42.231781,0.8,5.0,36.62,0.15,85.0,15.0,54.0,19.0,6.0,6.0,393.35,11.41,16.47,0.21,0.62
36.133614,100,42.910219,0.71,5.0,36.13,0.16,84.0,16.0,45.0,15.0,14.0,10.0,379.98,12.08,15.5,0.3,0.65
29.912958,100,43.532821,-1.0,7.0,29.91,0.28,72.0,28.0,39.0,16.0,12.0,5.0,196.46,8.12,20.95,0.27,0.62
70.17052,100,44.545236,0.87,2.0,70.17,0.24,76.0,24.0,27.0,18.0,16.0,15.0,156.5,1.67,20.09,0.08,0.58
