episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,50.63,0.0,100.0,0.0,100.0,0.0,609.49,5.25,54.41,0.46,0.26
2,25.7,0.0,100.0,0.0,100.0,0.0,627.24,15.55,21.0,0.74,0.24
3,32.96,0.0,100.0,0.0,100.0,0.0,330.22,6.32,44.98,0.66,0.25
4,25.0,0.0,100.0,0.0,100.0,0.0,589.66,8.0,39.43,0.75,0.2
5,25.0,0.0,100.0,0.0,100.0,0.0,637.71,16.0,20.34,0.75,0.2
6,25.0,0.0,100.0,0.0,100.0,0.0,699.49,16.0,20.59,0.75,0.18
7,41.22,0.0,100.0,0.0,100.0,0.0,298.33,9.61,42.82,0.55,0.19
8,64.62,0.05,95.0,5.0,54.0,41.0,146.13,3.41,32.99,0.36,0.26
9,60.82,0.0,100.0,0.0,100.0,0.0,495.06,4.44,53.16,0.44,0.22
10,50.12,0.0,100.0,0.0,100.0,0.0,531.39,8.72,45.36,0.5,0.22
11,49.26,0.0,100.0,0.0,100.0,0.0,641.39,5.01,59.74,0.47,0.21
12,25.0,0.0,100.0,0.0,100.0,0.0,614.1,16.0,21.22,0.75,0.28
13,49.37,0.0,100.0,0.0,100.0,0.0,561.54,8.68,38.81,0.48,0.31
14,45.95,0.0,100.0,0.0,100.0,0.0,555.2,4.58,46.62,0.51,0.26
15,57.55,0.0,100.0,0.0,100.0,0.0,496.87,5.34,49.95,0.48,0.22
16,48.64,0.0,100.0,0.0,100.0,0.0,550.76,4.86,48.31,0.47,0.33
17,57.47,0.0,100.0,0.0,100.0,0.0,277.28,4.84,50.48,0.45,0.4
18,33.6,0.0,100.0,0.0,100.0,0.0,670.53,14.37,24.72,0.64,0.37
19,25.0,0.0,100.0,0.0,100.0,0.0,523.25,16.0,20.09,0.75,0.3
20,25.05,0.0,100.0,0.0,100.0,0.0,711.09,7.93,40.47,0.75,0.23
21,69.42,0.0,100.0,0.0,100.0,0.0,503.56,5.04,49.78,0.36,0.2
22,56.94,0.0,100.0,0.0,64.0,36.0,142.54,3.6,37.54,0.44,0.25
23,59.89,0.0,100.0,0.0,100.0,0.0,551.63,4.92,57.76,0.42,0.31
24,51.67,0.0,100.0,0.0,100.0,0.0,456.6,4.64,55.31,0.52,0.24
25,62.9,0.0,100.0,0.0,100.0,0.0,686.34,5.68,56.57,0.32,0.24
26,35.48,0.0,100.0,0.0,100.0,0.0,563.0,11.5,27.43,0.64,0.22
27,49.68,0.0,100.0,0.0,100.0,0.0,429.8,4.54,55.57,0.48,0.2
28,31.06,0.0,100.0,0.0,100.0,0.0,677.62,7.72,47.74,0.72,0.22
29,27.27,0.0,100.0,0.0,100.0,0.0,520.23,15.88,19.29,0.74,0.21
30,52.68,0.0,100.0,0.0,100.0,0.0,449.56,8.32,40.97,0.42,0.2
31,25.0,0.0,100.0,0.0,100.0,0.0,626.91,8.0,40.11,0.75,0.21
32,60.33,0.0,100.0,0.0,100.0,0.0,532.7,8.56,47.99,0.41,0.2
33,47.48,0.0,100.0,0.0,100.0,0.0,454.74,5.52,56.73,0.51,0.23
34,47.96,0.0,100.0,0.0,100.0,0.0,505.48,5.4,53.83,0.51,0.23
35,49.61,0.0,100.0,0.0,100.0,0.0,605.42,8.36,35.26,0.52,0.23
36,27.23,0.0,100.0,0.0,100.0,0.0,633.59,15.25,20.68,0.7,0.21
37,46.05,0.0,100.0,0.0,100.0,0.0,544.33,9.04,38.41,0.52,0.27
38,57.26,0.0,100.0,0.0,100.0,0.0,436.77,8.02,37.43,0.4,0.24
39,29.4,0.0,100.0,0.0,100.0,0.0,585.69,15.85,21.2,0.74,0.26
40,53.9,0.0,100.0,0.0,100.0,0.0,548.85,8.35,41.97,0.44,0.4
41,25.0,0.0,100.0,0.0,100.0,0.0,650.08,8.0,42.48,0.75,0.4
42,37.82,0.0,100.0,0.0,100.0,0.0,536.65,5.3,51.49,0.57,0.38
43,25.0,0.0,100.0,0.0,100.0,0.0,699.36,16.0,22.65,0.75,0.35
44,56.29,0.0,100.0,0.0,100.0,0.0,726.59,5.96,46.62,0.54,0.36
45,50.44,0.0,100.0,0.0,100.0,0.0,354.48,4.88,54.67,0.48,0.23
46,39.9,0.0,100.0,0.0,100.0,0.0,666.56,15.25,22.43,0.6,0.22
47,26.02,0.0,100.0,0.0,100.0,0.0,450.89,8.08,39.94,0.75,0.19
48,47.71,0.0,100.0,0.0,100.0,0.0,425.0,8.52,36.62,0.52,0.26
49,54.4,0.0,100.0,0.0,100.0,0.0,441.89,5.36,54.05,0.5,0.38
50,52.16,0.0,100.0,0.0,100.0,0.0,309.96,8.94,40.25,0.5,0.36
51,84.16,0.0,100.0,0.0,42.0,58.0,75.98,1.63,23.21,0.14,0.37
52,25.0,0.0,100.0,0.0,100.0,0.0,580.91,8.0,40.63,0.75,0.25
53,48.52,0.0,100.0,0.0,100.0,0.0,385.92,9.28,43.31,0.53,0.26
54,47.07,0.0,100.0,0.0,100.0,0.0,636.2,8.44,41.92,0.5,0.23
55,29.48,0.0,100.0,0.0,100.0,0.0,644.19,7.96,40.86,0.74,0.2
56,45.87,0.0,100.0,0.0,100.0,0.0,682.91,4.91,50.2,0.49,0.2
57,48.19,0.0,100.0,0.0,100.0,0.0,477.31,8.8,41.16,0.51,0.19
58,40.83,0.0,100.0,0.0,100.0,0.0,555.52,5.6,50.9,0.57,0.19
59,50.27,0.0,100.0,0.0,100.0,0.0,605.78,8.64,39.0,0.5,0.21
60,34.56,0.0,100.0,0.0,100.0,0.0,681.59,7.13,41.51,0.68,0.21
61,25.0,0.0,100.0,0.0,100.0,0.0,623.3,8.0,37.28,0.75,0.24
62,25.0,0.0,100.0,0.0,100.0,0.0,496.68,8.0,42.26,0.75,0.31
63,31.99,0.0,100.0,0.0,100.0,0.0,471.66,12.7,25.57,0.67,0.23
64,28.53,0.0,100.0,0.0,100.0,0.0,659.12,7.52,47.0,0.71,0.21
65,42.95,0.0,100.0,0.0,100.0,0.0,444.78,6.08,55.0,0.56,0.27
66,25.0,0.0,100.0,0.0,100.0,0.0,707.29,8.0,37.96,0.75,0.35
67,51.59,0.0,100.0,0.0,100.0,0.0,475.18,7.88,35.94,0.5,0.34
68,71.99,0.11,89.0,11.0,51.0,38.0,140.45,2.27,35.54,0.32,0.29
69,44.28,0.0,100.0,0.0,100.0,0.0,481.71,4.94,46.38,0.55,0.25
70,44.38,0.0,100.0,0.0,100.0,0.0,476.67,5.06,51.86,0.55,0.23
71,47.05,0.0,100.0,0.0,100.0,0.0,566.56,4.63,48.98,0.52,0.29
72,53.67,0.0,100.0,0.0,100.0,0.0,488.34,9.16,31.69,0.49,0.28
73,50.41,0.0,100.0,0.0,100.0,0.0,742.88,8.85,38.53,0.52,0.4
74,25.0,0.0,100.0,0.0,100.0,0.0,701.95,16.0,20.58,0.75,0.24
75,45.27,0.0,100.0,0.0,100.0,0.0,575.57,10.3,36.51,0.58,0.33
76,50.09,0.0,100.0,0.0,100.0,0.0,552.49,8.36,36.89,0.52,0.33
77,26.67,0.0,100.0,0.0,100.0,0.0,570.99,15.85,20.73,0.75,0.32
78,53.41,0.0,100.0,0.0,65.0,35.0,147.17,3.01,38.62,0.39,0.35
79,49.57,0.0,100.0,0.0,100.0,0.0,523.21,9.56,43.58,0.53,0.2
80,25.0,0.0,100.0,0.0,100.0,0.0,649.62,16.0,22.14,0.75,0.21
81,25.0,0.0,100.0,0.0,100.0,0.0,449.65,8.0,40.27,0.75,0.21
82,25.0,0.0,100.0,0.0,100.0,0.0,533.89,16.0,20.06,0.75,0.21
83,59.66,0.0,100.0,0.0,60.0,40.0,183.72,3.53,35.93,0.36,0.31
84,46.2,0.0,100.0,0.0,100.0,0.0,414.33,4.94,51.33,0.54,0.32
85,83.19,0.0,100.0,0.0,59.0,41.0,80.05,2.26,39.03,0.16,0.3
86,53.48,0.03,97.0,3.0,58.0,39.0,186.55,3.09,34.15,0.41,0.25
87,25.0,0.0,100.0,0.0,100.0,0.0,509.61,8.0,41.86,0.75,0.2
88,56.41,0.0,100.0,0.0,100.0,0.0,720.55,11.44,35.45,0.46,0.3
89,26.32,0.0,100.0,0.0,100.0,0.0,638.5,7.96,41.9,0.75,0.21
90,38.27,0.0,100.0,0.0,100.0,0.0,722.34,6.86,46.04,0.67,0.23
91,63.97,0.0,100.0,0.0,100.0,0.0,605.7,4.55,54.37,0.38,0.21
92,57.27,0.0,100.0,0.0,100.0,0.0,432.77,7.56,35.36,0.4,0.24
93,71.27,0.04,96.0,4.0,52.0,44.0,111.36,2.92,33.79,0.26,0.39
94,47.57,0.0,100.0,0.0,100.0,0.0,454.68,8.56,41.28,0.51,0.28
95,25.0,0.0,100.0,0.0,100.0,0.0,728.85,16.0,19.71,0.75,0.25
96,58.03,0.01,99.0,1.0,57.0,42.0,126.37,2.53,32.42,0.42,0.36
97,53.17,0.0,100.0,0.0,100.0,0.0,488.52,9.52,36.35,0.46,0.23
98,41.28,0.0,100.0,0.0,100.0,0.0,695.17,5.88,56.77,0.57,0.23
99,25.0,0.0,100.0,0.0,100.0,0.0,524.27,16.0,20.62,0.75,0.28
100,48.97,0.0,100.0,0.0,100.0,0.0,557.1,4.74,52.36,0.47,0.26
