episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,28.32,0.0,100.0,0.0,82.0,18.0,342.77,13.71,41.01,0.73,0.75
2,31.79,0.01,99.0,1.0,82.0,17.0,404.46,11.37,50.95,0.64,0.52
3,34.1,0.02,98.0,2.0,80.0,18.0,224.03,12.14,40.88,0.68,0.58
4,38.71,0.02,98.0,2.0,81.0,17.0,329.74,10.18,51.58,0.64,0.69
5,36.96,0.03,97.0,3.0,78.0,19.0,309.96,11.35,53.59,0.6,0.53
6,31.98,0.0,100.0,0.0,81.0,19.0,315.29,11.96,42.21,0.65,0.7
7,24.1,0.01,99.0,1.0,81.0,18.0,337.44,14.47,46.22,0.73,0.64
8,37.39,0.0,100.0,0.0,80.0,20.0,242.78,12.26,47.52,0.65,0.61
9,41.01,0.0,100.0,0.0,82.0,18.0,233.79,9.24,54.23,0.6,0.87
10,37.74,0.03,97.0,3.0,80.0,17.0,340.37,11.29,51.12,0.66,0.79
11,42.49,0.03,97.0,3.0,76.0,21.0,281.57,12.04,42.88,0.59,0.81
12,56.88,0.0,100.0,0.0,35.0,65.0,101.93,5.57,27.93,0.41,1.15
13,24.49,0.02,98.0,2.0,78.0,20.0,338.47,13.75,42.47,0.72,0.66
14,23.94,0.0,100.0,0.0,87.0,13.0,400.53,13.26,47.52,0.74,0.52
15,31.14,0.02,98.0,2.0,82.0,16.0,378.45,14.36,41.88,0.7,0.56
16,37.06,0.0,100.0,0.0,81.0,19.0,297.32,11.3,55.41,0.61,0.52
17,39.29,0.0,100.0,0.0,76.0,24.0,267.24,11.55,51.55,0.54,0.63
18,34.44,0.0,100.0,0.0,81.0,19.0,258.68,10.29,49.03,0.65,0.63
19,36.6,0.0,100.0,0.0,75.0,25.0,236.96,11.4,48.36,0.62,0.73
20,27.02,0.03,97.0,3.0,86.0,11.0,442.97,14.39,48.37,0.76,0.51
21,38.97,0.0,100.0,0.0,81.0,19.0,256.27,11.02,49.87,0.64,0.62
22,29.25,0.0,100.0,0.0,82.0,18.0,350.18,11.43,53.46,0.66,0.6
23,33.02,0.0,100.0,0.0,84.0,16.0,315.76,13.99,40.94,0.71,0.58
24,33.11,0.0,100.0,0.0,82.0,18.0,281.45,12.57,45.31,0.68,0.71
25,23.73,0.03,97.0,3.0,80.0,17.0,403.36,12.89,44.78,0.7,0.58
26,30.54,0.0,100.0,0.0,83.0,17.0,408.37,10.73,53.87,0.62,0.67
27,27.96,0.03,97.0,3.0,79.0,18.0,435.36,14.16,43.53,0.67,0.58
28,29.36,0.0,100.0,0.0,82.0,18.0,406.66,12.04,55.41,0.62,0.63
29,29.48,0.0,100.0,0.0,82.0,18.0,294.21,12.57,44.68,0.68,0.69
30,32.89,0.0,100.0,0.0,78.0,22.0,337.28,10.85,48.1,0.63,0.57
31,38.08,0.04,96.0,4.0,74.0,22.0,331.52,11.1,35.83,0.56,0.6
32,44.82,0.0,100.0,0.0,73.0,27.0,221.09,9.42,50.7,0.55,0.72
33,32.19,0.01,99.0,1.0,84.0,15.0,356.41,11.71,49.36,0.69,0.47
34,39.37,0.0,100.0,0.0,74.0,26.0,300.91,11.83,51.43,0.62,0.66
35,39.02,0.0,100.0,0.0,74.0,26.0,340.35,11.26,49.15,0.58,0.64
36,40.51,0.0,100.0,0.0,75.0,25.0,238.91,11.24,47.73,0.61,0.72
37,44.97,0.0,100.0,0.0,80.0,20.0,231.42,9.5,48.29,0.59,0.69
38,40.09,0.0,100.0,0.0,75.0,25.0,288.59,10.73,50.12,0.52,0.76
39,31.61,0.0,100.0,0.0,82.0,18.0,282.96,10.05,52.94,0.65,0.59
40,26.7,0.0,100.0,0.0,81.0,19.0,324.98,13.38,48.48,0.7,0.67
41,33.37,0.0,100.0,0.0,82.0,18.0,237.55,12.66,44.83,0.71,0.55
42,33.26,0.02,98.0,2.0,80.0,18.0,309.29,11.22,50.19,0.66,0.65
43,39.72,0.0,100.0,0.0,80.0,20.0,274.62,9.53,49.46,0.58,0.59
44,41.94,0.02,98.0,2.0,69.0,29.0,185.37,11.69,39.95,0.57,0.68
45,34.24,0.02,98.0,2.0,79.0,19.0,292.95,13.48,45.49,0.67,0.64
46,29.27,0.0,100.0,0.0,86.0,14.0,373.8,10.67,54.66,0.67,0.5
47,36.79,0.04,96.0,4.0,80.0,16.0,309.55,11.98,47.81,0.65,0.59
48,36.91,0.0,100.0,0.0,84.0,16.0,289.81,10.21,55.02,0.62,0.57
49,39.64,0.0,100.0,0.0,77.0,23.0,288.75,10.89,49.27,0.56,0.62
50,35.08,0.0,100.0,0.0,79.0,21.0,251.99,10.91,50.58,0.66,0.59
51,54.87,0.04,96.0,4.0,32.0,64.0,151.51,6.91,22.25,0.38,1.05
52,34.57,0.0,100.0,0.0,76.0,24.0,218.24,12.42,45.32,0.63,0.66
53,37.19,0.0,100.0,0.0,80.0,20.0,266.09,10.78,54.19,0.66,0.59
54,29.36,0.0,100.0,0.0,82.0,18.0,326.95,13.51,46.17,0.67,0.61
55,31.71,0.0,100.0,0.0,78.0,22.0,313.19,10.59,53.74,0.63,0.62
56,40.77,0.0,100.0,0.0,76.0,24.0,220.46,10.24,49.03,0.56,0.74
57,33.72,0.0,100.0,0.0,82.0,18.0,288.57,10.97,49.94,0.65,0.6
58,27.75,0.0,100.0,0.0,81.0,19.0,344.04,13.62,47.75,0.7,0.68
59,25.25,0.02,98.0,2.0,83.0,15.0,413.16,13.12,44.9,0.72,0.63
60,30.25,0.0,100.0,0.0,81.0,19.0,326.07,12.77,47.2,0.66,0.66
61,39.58,0.05,95.0,5.0,75.0,20.0,340.36,10.03,49.19,0.61,0.54
62,34.98,0.0,100.0,0.0,79.0,21.0,382.85,10.51,50.62,0.62,0.64
63,33.4,0.02,98.0,2.0,83.0,15.0,341.0,10.81,55.84,0.67,0.64
64,18.11,0.02,98.0,2.0,89.0,9.0,382.61,13.21,49.69,0.8,0.49
65,23.48,0.02,98.0,2.0,81.0,17.0,423.64,13.56,43.45,0.74,0.64
66,34.92,0.03,97.0,3.0,78.0,19.0,268.39,10.34,53.93,0.66,0.6
67,34.94,0.0,100.0,0.0,79.0,21.0,293.4,12.38,46.35,0.64,0.68
68,30.5,0.0,100.0,0.0,82.0,18.0,259.61,14.11,40.49,0.72,0.62
69,33.91,0.0,100.0,0.0,78.0,22.0,262.3,13.84,37.1,0.6,0.66
70,36.24,0.02,98.0,2.0,77.0,21.0,234.74,11.28,49.06,0.63,0.71
71,39.5,0.0,100.0,0.0,73.0,27.0,250.56,10.83,45.66,0.55,0.69
72,55.31,0.0,100.0,0.0,40.0,60.0,179.98,6.83,30.06,0.45,0.99
73,36.82,0.05,95.0,5.0,74.0,21.0,239.39,12.17,41.33,0.65,0.65
74,30.21,0.01,99.0,1.0,78.0,21.0,327.87,12.19,46.22,0.66,0.65
75,39.07,0.0,100.0,0.0,76.0,24.0,274.03,13.41,43.02,0.65,0.7
76,41.73,0.01,99.0,1.0,76.0,23.0,270.06,9.8,51.77,0.58,0.65
