episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,77.59,0.0,100.0,0.0,34.0,66.0,224.83,13.45,20.11,0.57,6.96
2,84.46,0.04,96.0,4.0,29.0,67.0,162.7,10.81,20.99,0.57,7.16
3,81.28,0.05,95.0,5.0,30.0,65.0,197.84,10.57,22.42,0.58,6.7
4,82.77,0.12,88.0,12.0,24.0,64.0,196.58,9.2,19.75,0.54,8.66
5,81.56,0.07,93.0,7.0,26.0,67.0,199.1,10.63,20.13,0.53,7.89
6,85.07,0.07,93.0,7.0,24.0,69.0,161.4,8.11,22.12,0.49,8.19
7,81.29,0.06,94.0,6.0,24.0,70.0,199.81,11.41,18.42,0.52,6.63
8,77.25,0.02,98.0,2.0,26.0,72.0,232.87,13.12,17.17,0.5,7.57
9,82.1,0.02,98.0,2.0,28.0,70.0,183.44,9.92,22.09,0.52,8.31
10,81.4,0.05,95.0,5.0,25.0,70.0,196.57,11.44,19.42,0.48,7.85
11,82.72,0.08,92.0,8.0,29.0,63.0,188.63,11.21,22.35,0.52,7.51
12,80.22,0.06,94.0,6.0,35.0,59.0,211.26,13.3,24.05,0.57,7.59
13,85.86,0.03,97.0,3.0,18.0,79.0,146.61,8.93,17.66,0.49,11.09
14,79.65,0.06,94.0,6.0,28.0,66.0,217.27,13.31,17.18,0.57,7.17
15,78.8,0.06,94.0,6.0,24.0,70.0,226.27,11.13,18.08,0.56,7.73
16,86.78,0.03,97.0,3.0,22.0,75.0,137.2,8.44,19.18,0.49,8.71
17,79.52,0.04,96.0,4.0,25.0,71.0,214.08,11.69,17.33,0.49,7.24
18,80.99,0.05,95.0,5.0,24.0,71.0,200.93,10.36,21.04,0.49,7.03
19,76.52,0.03,97.0,3.0,27.0,70.0,242.8,11.55,19.58,0.53,7.41
20,82.64,0.06,94.0,6.0,31.0,63.0,185.46,11.44,23.37,0.58,8.39
21,80.04,0.0,100.0,0.0,22.0,78.0,200.45,13.2,15.23,0.46,13.85
22,81.69,0.05,95.0,5.0,27.0,68.0,193.55,9.65,21.9,0.55,14.79
23,79.15,0.03,97.0,3.0,34.0,63.0,215.73,12.22,21.16,0.56,13.49
24,78.48,0.03,97.0,3.0,25.0,72.0,222.68,12.74,14.78,0.5,15.25
25,83.33,0.1,90.0,10.0,27.0,63.0,186.0,8.97,24.66,0.54,15.51
26,76.99,0.03,97.0,3.0,30.0,67.0,238.01,11.29,22.25,0.53,14.06
27,81.59,0.07,93.0,7.0,31.0,62.0,198.75,11.34,23.47,0.6,12.46
28,85.64,0.15,85.0,15.0,20.0,65.0,169.75,9.45,17.99,0.51,12.67
29,77.98,0.0,100.0,0.0,31.0,69.0,220.97,12.47,17.83,0.49,15.33
30,84.32,0.05,95.0,5.0,30.0,65.0,165.87,10.53,20.14,0.5,15.3
31,81.13,0.06,94.0,6.0,22.0,72.0,201.58,10.3,14.99,0.49,15.94
32,78.16,0.07,93.0,7.0,24.0,69.0,235.62,10.52,17.28,0.61,11.83
33,80.0,0.09,91.0,9.0,28.0,63.0,220.56,9.77,21.51,0.57,11.54
