episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,-88.27,0.92,8.0,92.0,8.0,0.0,312.91,9.0,40.49,0.25,0.07
2,91.53,0.8,20.0,80.0,20.0,0.0,399.21,5.85,31.62,0.38,0.07
3,-77.93,0.84,16.0,84.0,16.0,0.0,367.3,10.31,32.65,0.22,0.07
4,-41.6,0.49,51.0,49.0,51.0,0.0,387.99,13.82,46.13,0.65,0.09
5,-82.27,0.86,14.0,86.0,14.0,0.0,369.77,12.0,17.99,0.46,0.06
6,-76.6,0.85,15.0,85.0,15.0,0.0,436.07,7.6,47.88,0.55,0.06
7,78.93,0.87,13.0,87.0,13.0,0.0,322.07,2.23,64.03,0.17,0.07
8,78.2,0.86,14.0,86.0,14.0,0.0,316.21,2.93,59.27,0.21,0.07
9,80.13,0.84,16.0,84.0,16.0,0.0,411.2,4.62,40.72,0.34,0.07
10,-61.0,0.75,25.0,75.0,25.0,0.0,380.66,7.6,36.33,0.27,0.07
11,-63.13,0.74,26.0,74.0,26.0,0.0,451.64,9.73,40.11,0.27,0.09
12,-79.53,0.87,13.0,87.0,13.0,0.0,441.69,7.38,43.77,0.25,0.07
13,70.2,0.85,15.0,85.0,15.0,0.0,270.19,2.8,68.23,0.05,0.08
14,0.8,0.04,96.0,4.0,96.0,0.0,344.12,15.25,48.05,0.34,0.09
15,-65.07,0.78,22.0,78.0,22.0,0.0,351.14,7.18,31.37,0.14,0.08
16,-89.2,0.92,8.0,92.0,8.0,0.0,314.49,10.75,32.2,0.31,0.07
17,-69.87,0.78,22.0,78.0,22.0,0.0,438.51,10.45,25.97,0.36,0.1
18,-41.33,0.51,49.0,51.0,49.0,0.0,367.16,13.04,55.55,0.35,0.11
19,-74.4,0.84,16.0,84.0,16.0,0.0,434.56,7.0,43.59,0.0,0.08
20,-64.07,0.71,29.0,71.0,29.0,0.0,450.51,12.41,16.14,0.16,0.07
21,89.6,0.85,15.0,85.0,15.0,0.0,216.3,3.4,52.5,0.35,0.08
22,72.8,0.84,16.0,84.0,16.0,0.0,416.72,4.0,58.0,0.09,0.07
23,-54.53,0.7,30.0,70.0,30.0,0.0,219.88,8.27,25.31,0.25,0.07
24,-76.0,0.84,16.0,84.0,16.0,0.0,337.8,8.5,26.3,0.22,0.07
25,-69.8,0.82,18.0,82.0,18.0,0.0,344.04,5.83,41.4,0.06,0.07
26,-29.4,0.35,65.0,35.0,65.0,0.0,343.98,14.71,46.03,0.41,0.09
27,70.4,0.87,13.0,87.0,13.0,0.0,341.25,2.85,56.71,0.4,0.07
28,94.87,0.91,9.0,91.0,9.0,0.0,440.97,6.22,23.85,0.42,0.06
29,70.6,0.81,19.0,81.0,19.0,0.0,372.36,2.11,56.41,0.12,0.07
30,74.8,0.9,10.0,90.0,10.0,0.0,412.05,2.8,60.23,0.15,0.07
31,-30.2,0.38,62.0,38.0,62.0,0.0,300.99,14.11,45.83,0.4,0.11
32,-83.07,0.9,10.0,90.0,10.0,0.0,341.66,5.6,50.2,0.25,0.06
33,-75.4,0.85,15.0,85.0,15.0,0.0,403.94,6.4,47.04,0.12,0.08
34,89.6,0.82,18.0,82.0,18.0,0.0,429.46,8.0,25.11,0.33,0.07
35,-60.8,0.76,24.0,76.0,24.0,0.0,373.29,6.5,38.57,0.12,0.08
36,-88.0,0.92,8.0,92.0,8.0,0.0,432.4,8.5,38.3,0.5,0.06
37,86.27,0.76,24.0,76.0,24.0,0.0,394.13,5.83,29.5,0.12,0.08
38,-72.2,0.79,21.0,79.0,21.0,0.0,373.59,11.14,23.05,0.35,0.07
39,68.4,0.86,14.0,86.0,14.0,0.0,423.49,2.71,65.85,0.18,0.07
40,-79.53,0.87,13.0,87.0,13.0,0.0,314.99,7.38,48.69,0.33,0.07
41,-78.33,0.87,13.0,87.0,13.0,0.0,431.41,6.0,50.42,0.33,0.07
42,-8.8,0.2,80.0,20.0,80.0,0.0,298.65,13.9,48.04,0.31,0.12
43,-51.93,0.7,30.0,70.0,30.0,0.0,331.3,6.97,39.19,0.17,0.09
44,63.73,0.86,14.0,86.0,14.0,0.0,289.45,3.43,64.01,0.32,0.07
45,-83.87,0.89,11.0,89.0,11.0,0.0,399.75,9.0,35.11,0.3,0.1
46,90.47,0.75,25.0,75.0,25.0,0.0,346.77,4.32,47.73,0.17,0.08
47,88.53,0.79,21.0,79.0,21.0,0.0,385.93,6.33,35.69,0.15,0.08
48,-73.2,0.83,17.0,83.0,17.0,0.0,469.52,7.35,51.49,0.19,0.09
49,84.2,0.86,14.0,86.0,14.0,0.0,361.08,5.07,40.13,0.43,0.08
50,-28.47,0.45,55.0,45.0,55.0,0.0,399.57,11.49,46.24,0.42,0.09
51,-21.0,0.26,74.0,26.0,74.0,0.0,359.97,14.99,50.27,0.47,0.09
52,-76.6,0.87,13.0,87.0,13.0,0.0,492.07,4.0,60.06,0.75,0.07
53,-68.53,0.84,16.0,84.0,16.0,0.0,386.4,1.5,65.5,0.5,0.07
54,-41.0,0.57,43.0,57.0,43.0,0.0,404.61,10.42,42.32,0.37,0.08
55,-73.73,0.79,21.0,79.0,21.0,0.0,410.24,12.24,23.68,0.51,0.08
56,-63.27,0.77,23.0,77.0,23.0,0.0,371.94,7.04,58.3,0.16,0.07
57,-69.93,0.75,25.0,75.0,25.0,0.0,409.59,12.96,50.23,0.59,0.07
58,65.67,0.84,16.0,84.0,16.0,0.0,177.68,3.19,61.52,0.25,0.07
59,74.0,0.86,14.0,86.0,14.0,0.0,461.89,3.14,68.39,0.54,0.06
60,66.6,0.84,16.0,84.0,16.0,0.0,393.99,2.31,68.02,0.38,0.08
61,-23.0,0.25,75.0,25.0,75.0,0.0,365.39,15.6,48.44,0.56,0.12
62,-45.53,0.57,43.0,57.0,43.0,0.0,373.55,12.0,43.86,0.42,0.12
63,-86.47,0.93,7.0,93.0,7.0,0.0,260.19,2.0,63.34,0.75,0.07
64,69.73,0.91,9.0,91.0,9.0,0.0,454.44,1.44,65.5,0.53,0.07
65,-64.4,0.79,21.0,79.0,21.0,0.0,406.28,5.57,57.19,0.32,0.08
66,-79.73,0.86,14.0,86.0,14.0,0.0,467.31,9.29,41.04,0.21,0.08
67,-83.4,0.88,12.0,88.0,12.0,0.0,438.2,10.25,33.38,0.12,0.06
68,67.53,0.91,9.0,91.0,9.0,0.0,331.49,1.78,64.62,0.36,0.09
69,-62.0,0.74,26.0,74.0,26.0,0.0,420.24,9.08,28.59,0.15,0.08
70,75.8,0.91,9.0,91.0,9.0,0.0,292.71,4.67,51.2,0.25,0.07
71,85.2,0.82,18.0,82.0,18.0,0.0,410.55,3.33,47.81,0.17,0.08
72,70.2,0.86,14.0,86.0,14.0,0.0,451.81,2.93,53.55,0.5,0.08
73,93.93,0.77,23.0,77.0,23.0,0.0,401.17,3.65,50.69,0.21,0.08
74,73.8,0.91,9.0,91.0,9.0,0.0,412.29,1.33,67.61,0.36,0.09
75,-72.6,0.83,17.0,83.0,17.0,0.0,325.86,6.82,41.19,0.19,0.1
76,-62.8,0.77,23.0,77.0,23.0,0.0,481.52,6.74,43.26,0.14,0.07
77,85.6,0.71,29.0,71.0,29.0,0.0,434.93,3.28,51.44,0.35,0.15
78,91.2,0.84,16.0,84.0,16.0,0.0,409.94,3.62,42.04,0.16,0.07
79,86.6,0.83,17.0,83.0,17.0,0.0,402.49,5.76,38.94,0.19,0.07
80,-17.4,0.23,77.0,23.0,77.0,0.0,334.26,14.91,48.69,0.23,0.09
81,89.13,0.83,17.0,83.0,17.0,0.0,451.73,5.29,35.46,0.28,0.07
82,-49.73,0.66,34.0,66.0,34.0,0.0,371.2,8.82,27.45,0.22,0.07
83,-74.73,0.85,15.0,85.0,15.0,0.0,425.95,5.73,53.64,0.32,0.06
84,92.27,0.78,22.0,78.0,22.0,0.0,431.4,4.91,49.46,0.36,0.07
85,91.67,0.73,27.0,73.0,27.0,0.0,270.11,5.63,33.4,0.18,0.09
86,-61.07,0.71,29.0,71.0,29.0,0.0,427.44,10.86,39.96,0.35,0.09
87,-31.33,0.46,54.0,46.0,54.0,0.0,402.5,11.93,46.97,0.41,0.11
88,-57.13,0.69,31.0,69.0,31.0,0.0,418.64,10.26,38.75,0.3,0.08
89,81.8,0.93,7.0,93.0,7.0,0.0,450.82,1.43,64.75,0.39,0.07
90,-80.67,0.88,12.0,88.0,12.0,0.0,357.99,6.83,45.73,0.21,0.07
91,83.2,0.78,22.0,78.0,22.0,0.0,402.04,5.64,35.16,0.11,0.33
92,79.33,0.84,16.0,84.0,16.0,0.0,390.19,1.62,63.09,0.47,0.08
93,74.4,0.86,14.0,86.0,14.0,0.0,409.16,2.71,61.28,0.39,0.08
94,-73.8,0.84,16.0,84.0,16.0,0.0,177.28,6.44,45.75,0.16,0.08
95,-39.93,0.53,47.0,53.0,47.0,0.0,276.06,11.83,43.46,0.3,0.09
96,71.07,0.86,14.0,86.0,14.0,0.0,464.74,4.14,60.06,0.29,0.06
97,-81.4,0.88,12.0,88.0,12.0,0.0,368.5,7.75,45.22,0.29,0.06
98,91.8,0.83,17.0,83.0,17.0,0.0,293.76,4.71,37.37,0.34,0.07
99,-85.0,0.87,13.0,87.0,13.0,0.0,461.35,13.69,24.56,0.21,0.04
100,-21.8,0.33,67.0,33.0,67.0,0.0,346.51,13.49,44.06,0.34,0.06
