episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,-88.27,0.92,8.0,92.0,8.0,0.0,261.5,9.0,53.6,0.44,0.04
2,85.2,0.84,16.0,84.0,16.0,0.0,352.83,5.5,48.68,0.41,0.05
3,-80.4,0.84,16.0,84.0,16.0,0.0,378.89,12.62,33.09,0.25,0.04
4,-55.0,0.62,38.0,62.0,38.0,0.0,381.38,13.24,67.53,0.61,0.05
5,-79.27,0.83,17.0,83.0,17.0,0.0,348.47,12.71,21.15,0.54,0.05
6,-72.53,0.85,15.0,85.0,15.0,0.0,434.14,3.53,78.53,0.25,0.04
7,99.67,0.87,13.0,87.0,13.0,0.0,364.63,1.38,84.37,0.33,0.05
8,77.07,0.86,14.0,86.0,14.0,0.0,342.88,4.14,70.34,0.18,0.05
9,80.53,0.83,17.0,83.0,17.0,0.0,301.59,5.82,48.31,0.22,0.06
10,-77.6,0.87,13.0,87.0,13.0,0.0,385.52,5.15,76.4,0.17,0.06
11,-63.33,0.75,25.0,75.0,25.0,0.0,457.26,9.0,59.96,0.27,0.06
12,-81.4,0.87,13.0,87.0,13.0,0.0,449.38,9.54,48.36,0.21,0.05
13,97.73,0.85,15.0,85.0,15.0,0.0,213.61,3.27,88.45,0.38,0.05
14,-16.8,0.2,80.0,20.0,80.0,0.0,294.64,15.4,62.73,0.31,0.06
15,-73.8,0.83,17.0,83.0,17.0,0.0,371.69,7.88,53.07,0.16,0.05
16,-86.93,0.92,8.0,92.0,8.0,0.0,320.6,6.5,61.2,0.19,0.06
17,-64.53,0.76,24.0,76.0,24.0,0.0,438.41,8.83,36.44,0.35,0.07
18,-38.27,0.43,57.0,43.0,57.0,0.0,206.38,14.75,67.46,0.43,0.08
19,-71.13,0.81,19.0,81.0,19.0,0.0,306.82,8.21,44.34,0.25,0.09
20,-88.07,0.91,9.0,91.0,9.0,0.0,419.08,11.11,38.63,0.31,0.06
21,99.2,0.9,10.0,90.0,10.0,0.0,394.61,2.2,85.98,0.15,0.07
22,72.93,0.84,16.0,84.0,16.0,0.0,399.8,3.88,75.2,0.09,0.08
23,-61.2,0.74,26.0,74.0,26.0,0.0,300.5,8.62,36.53,0.12,0.09
24,-80.93,0.86,14.0,86.0,14.0,0.0,394.17,10.57,27.39,0.39,0.08
25,-81.8,0.89,11.0,89.0,11.0,0.0,327.57,6.18,65.86,0.16,0.06
26,-37.27,0.44,56.0,44.0,56.0,0.0,384.59,14.2,60.91,0.43,0.09
27,69.8,0.87,13.0,87.0,13.0,0.0,444.27,3.54,70.35,0.29,0.08
28,92.27,0.92,8.0,92.0,8.0,0.0,376.12,8.0,24.72,0.62,0.05
29,98.67,0.85,15.0,85.0,15.0,0.0,340.55,2.33,85.76,0.25,0.05
30,75.47,0.9,10.0,90.0,10.0,0.0,377.2,1.8,81.38,0.4,0.06
31,-33.13,0.39,61.0,39.0,61.0,0.0,299.52,14.56,60.65,0.43,0.07
32,-82.0,0.9,10.0,90.0,10.0,0.0,241.3,4.0,72.83,0.4,0.05
33,-75.0,0.85,15.0,85.0,15.0,0.0,270.65,6.0,64.27,0.12,0.05
34,91.47,0.82,18.0,82.0,18.0,0.0,414.22,6.44,43.82,0.14,0.05
35,-81.0,0.87,13.0,87.0,13.0,0.0,353.98,9.08,54.88,0.37,0.06
36,-88.0,0.92,8.0,92.0,8.0,0.0,432.4,8.5,50.8,0.5,0.05
37,64.53,0.89,11.0,89.0,11.0,0.0,319.67,5.73,56.04,0.3,0.05
38,-73.67,0.82,18.0,82.0,18.0,0.0,400.23,9.06,39.65,0.19,0.05
39,97.87,0.86,14.0,86.0,14.0,0.0,315.39,3.29,86.5,0.21,0.05
40,-78.2,0.87,13.0,87.0,13.0,0.0,279.58,5.85,71.32,0.25,0.05
41,-79.53,0.87,13.0,87.0,13.0,0.0,425.62,7.38,60.64,0.21,0.05
42,-22.73,0.31,69.0,31.0,69.0,0.0,304.91,14.2,64.32,0.36,0.07
43,-58.53,0.73,27.0,73.0,27.0,0.0,252.06,7.96,49.74,0.12,0.07
44,98.67,0.86,14.0,86.0,14.0,0.0,294.87,2.43,83.47,0.18,0.07
45,-83.27,0.89,11.0,89.0,11.0,0.0,344.76,8.18,56.94,0.25,0.07
46,77.33,0.83,17.0,83.0,17.0,0.0,408.69,3.35,83.44,0.22,0.08
