1,-21.55,0.5,50.0,182.69,5.78,10.65,0.55,0.63

1,-43.79,0.64,36.0,198.06,5.94,10.94,0.55,0.63
2,-32.16,0.48,52.0,241.58,13.46,8.94,0.57,0.89
2,-41.89,0.55,45.0,242.48,13.51,7.22,0.58,0.89
2,-37.3,0.51,49.0,235.06,13.91,6.78,0.6,0.89

3,-30.31,0.5,50.0,322.11,12.15,12.61,0.46,0.863,-29.97,0.47,53.0,297.28,12.86,9.57,0.57,0.86

3,-36.42,0.54,46.0,315.73,12.56,10.97,0.52,0.86
3,-33.42,0.54,46.0,434.61,10.96,14.56,0.35,0.86
4,-17.5,0.44,56.0,423.04,10.67,16.52,0.45,0.54

4,-34.27,0.54,46.0,417.0,11.17,16.92,0.44,0.54
4,-33.52,0.51,49.0,410.48,11.7,12.44,0.54,0.53
4,-47.65,0.63,37.0,427.34,11.19,15.06,0.47,0.54
5,-20.0,0.47,53.0,432.23,9.77,12.69,0.38,1.09
5,-13.32,0.42,58.0,453.81,10.35,11.15,0.35,1.09
5,-14.05,0.42,58.0,456.23,11.05,9.86,0.38,1.09

6,29.33,0.26,74.0,447.02,4.68,29.5,0.19,0.88

6,35.66,0.23,77.0,427.64,4.5,30.35,0.23,0.88
6,6.21,0.33,67.0,382.56,7.86,20.29,0.34,0.88
7,1.19,0.4,60.0,390.69,5.77,25.83,0.22,0.81

7,4.03,0.38,62.0,387.01,6.04,25.37,0.21,0.81
7,14.63,0.33,67.0,401.98,5.05,26.64,0.29,0.81
7,4.51,0.36,64.0,384.82,6.27,25.06,0.29,0.81
8,51.54,0.07,93.0,335.18,3.63,39.42,0.57,0.79
8,42.8,0.16,84.0,502.29,3.12,37.12,0.53,0.78
8,58.49,0.06,94.0,326.66,3.61,39.25,0.52,0.78
8,52.17,0.08,92.0,352.55,3.66,40.13,0.54,0.79
8,38.42,0.2,80.0,441.81,2.4,35.27,0.45,0.78
8,27.41,0.26,74.0,471.57,2.47,34.37,0.47,0.79
9,29.86,0.19,81.0,549.5,7.08,31.84,0.28,1.09

9,31.41,0.18,82.0,550.73,7.13,31.36,0.2,1.09

9,31.16,0.19,81.0,523.4,5.96,34.83,0.34,1.09
9,35.53,0.18,82.0,593.23,6.55,31.97,0.22,1.09
10,39.38,0.16,84.0,486.08,4.05,37.17,0.44,1.06
110,49.12,0.1,90.0,464.66,4.54,34.54,0.4,1.06

10,39.11,0.16,84.0,506.61,4.11,37.42,0.51,1.06
11,41.43,0.14,86.0,407.26,4.62,41.38,0.51,0.89
11,36.49,0.18,82.0,421.76,4.75,40.12,0.39,0.89
11,35.97,0.18,82.0,449.32,4.55,41.55,0.46,0.89
12,62.22,0.09,91.0,445.43,2.37,40.11,0.28,0.76
12,58.57,0.1,90.0,443.83,2.31,39.91,0.27,0.76

12,74.53,0.07,93.0,418.03,2.29,38.89,0.17,0.76
12,52.75,0.15,85.0,441.46,2.19,41.72,0.43,0.76
13,9.97,0.35,65.0,572.49,4.32,26.62,0.11,0.79
13,26.48,0.28,72.0,492.73,5.06,25.35,0.18,0.79
13,36.78,0.24,76.0,579.26,4.4,23.93,0.12,0.79

13,33.44,0.26,74.0,538.53,4.69,25.7,0.03,0.79
13,17.49,0.33,67.0,542.83,3.81,27.37,0.24,0.79
14,33.03,0.21,79.0,335.53,2.59,23.88,0.46,0.82
14,38.03,0.19,81.0,329.04,2.36,24.12,0.54,0.82
14,44.97,0.15,85.0,325.57,4.28,23.07,0.33,0.82
15,41.11,0.16,84.0,557.16,2.66,36.1,0.55,0.86
15,30.33,0.2,80.0,558.08,2.8,36.17,0.6,0.86
6
16,44.81,0.13,87.0,541.06,3.8,37.37,0.48,1.05
16,44.39,0.13,87.0,563.6,3.94,37.28,0.5,1.04
16,44.18,0.16,84.0,529.61,3.85,36.66,0.37,1.04
16,44.17,0.13,87.0,561.02,4.08,37.61,0.52,1.04
16,40.35,0.14,86.0,540.7,4.02,37.36,0.45,1.04
17,22.69,0.27,73.0,483.7,3.25,27.95,0.51,0.77

17,24.25,0.27,73.0,469.88,2.9,28.57,0.46,0.78

17,34.0,0.24,76.0,436.78,2.35,32.38,0.42,0.77

18,23.77,0.25,75.0,404.29,2.22,31.77,0.62,0.75
8,31.53,0.21,79.0,394.11,2.71,30.63,0.58,0.75
18,23.86,0.26,74.0,414.18,2.23,32.32,0.63,0.75
18,33.3,0.2,80.0,404.56,2.44,32.22,0.57,0.75
18,25.32,0.27,73.0,519.75,3.33,30.35,0.54,0.75
19,46.85,0.11,89.0,548.42,6.02,32.69,0.38,0.83
19,40.69,0.15,85.0,493.1,5.98,32.93,0.36,0.83
19,45.03,0.13,87.0,585.5,5.79,33.31,0.41,0.83
19,42.92,0.12,88.0,550.79,6.05,33.05,0.43,0.83
20,40.84,0.13,87.0,432.78,2.62,41.82,0.7,0.79

20,50.97,0.1,90.0,437.29,2.73,39.39,0.58,0.79
20,38.17,0.15,85.0,482.93,2.83,41.13,0.66,0.79
20,39.32,0.14,86.0,431.85,2.62,40.47,0.65,0.79
20,34.65,0.17,83.0,493.8,2.94,40.9,0.66,0.79

21,31.82,0.15,85.0,481.54,10.64,15.33,0.22,0.76
21,20.71,0.16,84.0,534.34,10.0,14.91,0.52,0.76
21,23.36,0.14,86.0,534.08,9.58,15.65,0.57,0.76
21,23.2,0.13,87.0,537.26,9.38,15.75,0.61,0.76

21,22.94,0.16,84.0,540.01,9.81,15.41,0.55,0.76
22,31.02,0.25,75.0,424.71,3.69,34.73,0.33,0.77
22,33.27,0.16,84.0,464.56,4.45,33.27,0.61,0.76
22,30.16,0.22,78.0,486.45,3.45,35.66,0.56,0.76
23,30.34,0.16,84.0,399.97,7.17,28.31,0.52,0.98
23,28.7,0.18,82.0,515.75,4.9,31.95,0.59,0.98

23,34.95,0.14,86.0,403.01,6.72,29.17,0.52,0.98
23,29.48,0.16,84.0,397.93,6.5,28.19,0.52,0.98

24,34.47,0.22,78.0,591.97,2.97,33.16,0.42,0.81
24,43.14,0.19,81.0,582.65,3.09,31.05,0.28,0.81
24,36.88,0.2,80.0,586.4,2.88,32.67,0.42,0.81
25,4.02,0.38,62.0,434.32,4.68,25.97,0.37,0.742525,4.07,0.39,61.0,424.88,4.16,26.21,0.34,0.74
25,3.49,0.39,61.0,525.76,4.56,26.37,0.34,0.74

25,3.32,0.38,62.0,542.66,5.15,24.55,0.34,0.74
26,44.8,0.06,94.0,347.56,3.94,41.07,0.71,0.72

26,46.68,0.04,96.0,344.01,4.1,40.99,0.7,0.73

26,41.2,0.09,91.0,349.67,4.53,40.09,0.66,0.73
27,33.44,0.23,77.0,593.94,1.86,39.97,0.54,0.78
27,35.34,0.22,78.0,611.28,1.81,39.83,0.48,0.79
27,46.13,0.18,82.0,659.98,1.8,40.28,0.45,0.7927,33.15,0.23,77.0,664.63,1.8,39.78,0.47,0.78
28,10.21,0.37,63.0,522.3,3.22,27.16,0.44,0.74
28,4.89,0.38,62.0,534.55,2.47,29.06,0.52,0.74

28,6.47,0.38,62.0,526.55,3.24,26.66,0.43,0.74
29,43.99,0.09,91.0,622.0,4.82,38.72,0.49,1.01
29,50.26,0.08,92.0,604.68,4.87,38.72,0.36,1.01
29,53.78,0.06,94.0,605.84,4.95,38.33,0.34,1.01
29,44.54,0.11,89.0,626.11,4.58,39.78,0.42,1.0
30,38.48,0.2,80.0,477.5,2.1,32.3,0.5,1.0
0.99
